number,species,subgenus,genus,tribe,subfamily,family
RMNH.INS.1271298,messeae,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271299,messeae,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271300,messeae,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271301,richiardii ,Coquillettidia,Coquillettidia,Mansoniini,Culicinae,Culicidae
RMNH.INS.1271302,richiardii ,Coquillettidia,Coquillettidia,Mansoniini,Culicinae,Culicidae
RMNH.INS.1271303,richiardii ,Coquillettidia,Coquillettidia,Mansoniini,Culicinae,Culicidae
RMNH.INS.1271304,vexans,Aedimorphus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271305,vexans,Aedimorphus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271306,vexans,Aedimorphus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271307,annulata,Culiseta,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271308,annulata,Culiseta,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271309,annulata,Culiseta,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271310,claviger,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271311,claviger,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271312,claviger,Anopheles,Anopheles,,Anophelinae,Culicidae
RMNH.INS.1271313,modestus ,Barraudius,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271314,modestus ,Barraudius,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271315,modestus ,Barraudius,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271316,territans,Neoculex,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271317,territans,Neoculex,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271318,territans,Neoculex,Culex,Culicini,Culicinae,Culicidae
RMNH.INS.1271319,cinereus/geminus,Aedes,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271320,cinereus/geminus,Aedes,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271321,cinereus/geminus,Aedes,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271322,longiareolata,Allotheobaldia,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271323,longiareolata,Allotheobaldia,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271324,longiareolata,Allotheobaldia,Culiseta,Culisetini,Culicinae,Culicidae
RMNH.INS.1271325,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271326,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271327,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271328,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271329,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271330,annulipes/cantans,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271331,rusticus,Rusticoidus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271332,rusticus,Rusticoidus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271333,rusticus,Rusticoidus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271334,communis,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
RMNH.INS.1271335,communis,Ochlerotatus,Aedes,Aedini,Culicinae,Culicidae
