,RMNH.INS.1271298_An_messeae - CYTB CDS,RMNH.INS.1271299_An_messeae - CYTB CDS,RMNH.INS.1271300_An_messeae - CYTB CDS,RMNH.INS.1271301_Cq_richiardii - CYTB CDS,RMNH.INS.1271302_Cq_richiardii - CYTB CDS,RMNH.INS.1271303_Cq_richiardii - CYTB CDS,RMNH.INS.1271304_Ae_vexans - CYTB CDS,RMNH.INS.1271305_Ae_vexans - CYTB CDS,RMNH.INS.1271306_Ae_vexans - CYTB CDS,RMNH.INS.1271307_Cs_annulata - CYTB CDS,RMNH.INS.1271308_Cs_annulata - CYTB CDS,RMNH.INS.1271309_Cs_annulata - CYTB CDS,RMNH.INS.1271310_An_claviger - CYTB CDS,RMNH.INS.1271311_An_claviger - CYTB CDS,RMNH.INS.1271312_An_claviger - CYTB CDS,RMNH.INS.1271313_Cx_modestus - CYTB CDS,RMNH.INS.1271314_Cx_modestus - CYTB CDS,RMNH.INS.1271315_Cx_modestus - CYTB CDS,RMNH.INS.1271316_Cx_territans - CYTB CDS,RMNH.INS.1271317_Cx_territans - CYTB CDS,RMNH.INS.1271318_Cx_territans - CYTB CDS,RMNH.INS.1271319_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271320_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271321_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271322_Cs_longiareolata - CYTB CDS,RMNH.INS.1271323_Cs_longiareolata - CYTB CDS,RMNH.INS.1271324_Cs_longiareolata - CYTB CDS,RMNH.INS.1271325_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271326_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271327_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271328_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271329_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271330_Ae_annulipes_cantans - CYTB CDS,RMNH.INS.1271331_Ae_rusticus - CYTB CDS,RMNH.INS.1271332_Ae_rusticus - CYTB CDS,RMNH.INS.1271333_Ae_rusticus - CYTB CDS,RMNH.INS.1271334_Ae_communis - CYTB CDS,RMNH.INS.1271335_Ae_communis - CYTB CDS,RMNH.INS.1271336_Ae_communis - CYTB CDS,RMNH.INS.1271337_Ae_punctor - CYTB CDS,RMNH.INS.1271338_Ae_rusticus - CYTB CDS,RMNH.INS.1271339_Ae_punctor - CYTB CDS,RMNH.INS.1271340_Ae_geniculatus - CYTB CDS,RMNH.INS.1271341_Ae_geniculatus - CYTB CDS,RMNH.INS.1271342_Ae_geniculatus - CYTB CDS,RMNH.INS.1271344_Cs_subochrea - CYTB CDS,RMNH.INS.1271345_Cs_annulata - CYTB CDS,RMNH.INS.1271346_Ae_caspius - CYTB CDS,RMNH.INS.1271347_Ae_caspius - CYTB CDS,RMNH.INS.1271348_Ae_caspius - CYTB CDS,RMNH.INS.1271349_An_plumbeus - CYTB CDS,RMNH.INS.1271350_An_plumbeus - CYTB CDS,RMNH.INS.1271351_An_plumbeus - CYTB CDS,RMNH.INS.1271352_Cs_annulata - CYTB CDS,RMNH.INS.1271354_Cs_annulata - CYTB CDS,RMNH.INS.1271355_Cx_pipiens - CYTB CDS,RMNH.INS.1271356_Cx_pipiens - CYTB CDS,RMNH.INS.1271357_Cx_pipiens - CYTB CDS,RMNH.INS.1271358_Cs_morsitans - CYTB CDS,RMNH.INS.1271359_Cs_morsitans - CYTB CDS,RMNH.INS.1271360_Cs_morsitans - CYTB CDS,RMNH.INS.1271361_Ae_sticticus - CYTB CDS,RMNH.INS.1271362_Ae_sticticus - CYTB CDS,RMNH.INS.1271363_Ae_sticticus - CYTB CDS,RMNH.INS.1271367_Ae_detritus - CYTB CDS,RMNH.INS.1271368_Ae_detritus - CYTB CDS,RMNH.INS.1271369_Ae_caspius - CYTB CDS,RMNH.INS.1271370_Ae_flavescens - CYTB CDS,RMNH.INS.1271371_Ae_flavescens - CYTB CDS,RMNH.INS.1271372_Ae_flavescens - CYTB CDS,RMNH.INS.1271375_Ae_leucomelas - CYTB CDS,RMNH.INS.1271376_Ae_albopictus - CYTB CDS,RMNH.INS.1271377_Ae_albopictus - CYTB CDS,RMNH.INS.1271378_Ae_albopictus - CYTB CDS,RMNH.INS.1271379_Ae_japonicus - CYTB CDS,RMNH.INS.1271380_Ae_japonicus - CYTB CDS,RMNH.INS.1271381_Ae_japonicus - CYTB CDS,RMNH.INS.1271382_Ae_aegypti - CYTB CDS,RMNH.INS.1271383_Ae_aegypti - CYTB CDS,RMNH.INS.1271384_Ae_aegypti - CYTB CDS,RMNH.INS.1271386_Ae_cinereus_geminus - CYTB CDS,RMNH.INS.1271389_Cs_ochroptera - CYTB CDS
RMNH.INS.1271298_An_messeae - CYTB CDS,,99.736,99.120,84.257,84.169,84.169,88.303,88.215,88.303,87.159,87.159,87.071,89.798,89.974,89.710,85.928,86.368,86.192,86.016,86.016,86.016,86.016,85.752,86.016,87.159,87.159,87.159,86.456,86.368,86.368,86.456,86.104,85.928,86.807,86.895,86.719,86.280,86.192,86.192,84.609,86.719,84.609,86.280,86.280,86.280,86.456,87.159,86.895,87.071,86.983,88.566,88.566,88.566,87.159,87.159,87.423,87.423,87.247,84.257,84.257,84.257,86.719,86.719,86.719,85.224,86.192,87.071,86.895,86.895,86.631,86.456,87.863,87.951,87.863,85.224,85.224,85.312,85.576,85.400,85.488,85.928,87.071
RMNH.INS.1271299_An_messeae - CYTB CDS,99.736,,99.033,84.169,83.905,83.905,88.039,88.127,88.039,86.983,86.983,86.895,89.710,89.886,89.622,85.664,86.280,86.104,86.104,86.104,86.104,85.928,85.664,85.928,87.071,87.071,87.071,86.192,86.104,86.280,86.192,85.840,85.664,86.719,86.807,86.631,86.192,86.104,86.104,84.345,86.631,84.345,86.016,86.016,86.016,86.368,86.983,86.807,86.983,86.895,88.478,88.478,88.478,86.983,86.983,87.159,87.159,86.983,84.169,84.169,84.169,86.631,86.631,86.631,85.136,85.928,86.983,86.631,86.631,86.368,86.192,87.599,87.687,87.599,85.136,85.136,85.224,85.488,85.136,85.224,85.840,86.983
RMNH.INS.1271300_An_messeae - CYTB CDS,99.120,99.033,,84.081,83.993,83.993,87.863,87.775,87.863,86.544,86.719,86.631,89.710,89.886,89.622,85.840,86.104,85.840,86.016,86.016,86.016,85.752,85.488,85.752,86.631,86.631,86.631,86.192,86.104,86.104,86.192,85.840,85.664,86.280,86.368,86.192,86.104,86.016,86.016,84.521,86.192,84.521,86.016,86.016,86.016,86.456,86.719,86.544,86.719,86.631,88.478,88.478,88.478,86.719,86.719,87.071,87.071,86.895,83.817,83.817,83.817,86.280,86.280,86.280,84.872,85.840,86.719,86.631,86.631,86.368,86.104,87.335,87.423,87.335,84.872,84.872,84.960,85.576,85.224,85.312,85.664,86.631
RMNH.INS.1271301_Cq_richiardii - CYTB CDS,84.257,84.169,84.081,,99.560,99.560,86.719,86.807,86.719,86.368,86.280,86.192,83.641,83.553,83.641,86.104,86.368,86.368,86.016,86.016,86.016,84.697,84.433,84.697,87.159,87.159,87.159,84.785,85.048,84.609,84.872,84.785,84.609,86.280,86.280,86.192,85.400,85.488,85.488,83.993,86.192,83.993,85.312,85.312,85.312,85.928,86.280,85.752,85.752,85.840,83.641,83.641,83.641,86.280,86.280,85.928,85.928,85.664,84.697,84.697,84.697,84.872,84.872,84.960,84.785,85.136,85.752,85.048,85.048,84.785,84.785,85.752,85.840,85.752,86.807,86.807,87.071,85.400,85.400,85.312,84.521,86.368
RMNH.INS.1271302_Cq_richiardii - CYTB CDS,84.169,83.905,83.993,99.560,,100.000,86.631,86.544,86.631,86.192,86.104,86.016,83.553,83.465,83.553,86.016,86.104,86.192,85.664,85.664,85.664,84.521,84.433,84.521,86.895,86.895,86.895,84.785,85.048,84.433,84.872,84.785,84.609,86.016,86.016,85.928,85.136,85.224,85.224,83.993,85.928,83.993,85.224,85.224,85.224,85.664,86.104,85.576,85.576,85.664,83.465,83.465,83.465,86.104,86.104,85.752,85.752,85.488,84.345,84.345,84.345,84.521,84.521,84.609,84.697,85.048,85.576,85.048,85.048,84.785,84.697,85.664,85.752,85.664,86.719,86.719,86.983,85.312,85.488,85.224,84.521,86.016
RMNH.INS.1271303_Cq_richiardii - CYTB CDS,84.169,83.905,83.993,99.560,100.000,,86.631,86.544,86.631,86.192,86.104,86.016,83.553,83.465,83.553,86.016,86.104,86.192,85.664,85.664,85.664,84.521,84.433,84.521,86.895,86.895,86.895,84.785,85.048,84.433,84.872,84.785,84.609,86.016,86.016,85.928,85.136,85.224,85.224,83.993,85.928,83.993,85.224,85.224,85.224,85.664,86.104,85.576,85.576,85.664,83.465,83.465,83.465,86.104,86.104,85.752,85.752,85.488,84.345,84.345,84.345,84.521,84.521,84.609,84.697,85.048,85.576,85.048,85.048,84.785,84.697,85.664,85.752,85.664,86.719,86.719,86.983,85.312,85.488,85.224,84.521,86.016
RMNH.INS.1271304_Ae_vexans - CYTB CDS,88.303,88.039,87.863,86.719,86.631,86.631,,99.912,100.000,89.798,89.886,89.798,87.423,87.247,87.511,87.687,88.215,87.951,88.566,88.566,88.566,90.325,90.062,90.150,89.886,89.886,89.886,90.237,90.325,90.237,90.150,90.150,89.974,91.293,91.293,91.205,89.886,89.974,89.974,88.654,91.205,88.654,90.237,90.237,90.237,89.182,89.886,91.117,91.117,91.205,86.016,86.016,86.016,89.886,89.886,88.742,88.742,88.478,87.511,87.511,87.511,88.918,88.918,89.006,89.182,90.237,91.117,90.589,90.589,90.325,89.798,92.612,92.700,92.612,89.534,89.534,89.710,90.237,89.974,90.150,90.237,90.062
RMNH.INS.1271305_Ae_vexans - CYTB CDS,88.215,88.127,87.775,86.807,86.544,86.544,99.912,,99.912,89.798,89.886,89.798,87.511,87.335,87.599,87.599,88.303,88.039,88.654,88.654,88.654,90.237,89.974,90.062,89.974,89.974,89.974,90.150,90.237,90.325,90.062,90.062,89.886,91.381,91.381,91.293,89.974,90.062,90.062,88.566,91.293,88.566,90.150,90.150,90.150,89.270,89.886,91.205,91.205,91.293,86.104,86.104,86.104,89.886,89.886,88.654,88.654,88.391,87.599,87.599,87.599,89.006,89.006,89.094,89.270,90.150,91.205,90.501,90.501,90.237,89.710,92.524,92.612,92.524,89.622,89.622,89.798,90.150,89.886,90.062,90.150,90.150
RMNH.INS.1271306_Ae_vexans - CYTB CDS,88.303,88.039,87.863,86.719,86.631,86.631,100.000,99.912,,89.798,89.886,89.798,87.423,87.247,87.511,87.687,88.215,87.951,88.566,88.566,88.566,90.325,90.062,90.150,89.886,89.886,89.886,90.237,90.325,90.237,90.150,90.150,89.974,91.293,91.293,91.205,89.886,89.974,89.974,88.654,91.205,88.654,90.237,90.237,90.237,89.182,89.886,91.117,91.117,91.205,86.016,86.016,86.016,89.886,89.886,88.742,88.742,88.478,87.511,87.511,87.511,88.918,88.918,89.006,89.182,90.237,91.117,90.589,90.589,90.325,89.798,92.612,92.700,92.612,89.534,89.534,89.710,90.237,89.974,90.150,90.237,90.062
RMNH.INS.1271307_Cs_annulata - CYTB CDS,87.159,86.983,86.544,86.368,86.192,86.192,89.798,89.798,89.798,,99.560,99.472,85.576,85.576,85.664,88.303,88.215,88.215,88.830,88.830,88.830,87.775,87.775,87.775,90.853,90.853,90.853,89.006,88.830,89.006,89.006,88.566,88.391,89.182,89.182,89.094,88.918,88.830,88.830,86.719,89.094,86.719,87.687,87.687,87.687,96.306,99.560,89.094,89.270,89.182,85.840,85.840,85.840,99.560,99.560,88.918,88.918,88.654,88.039,88.039,88.039,87.863,87.863,87.951,87.599,88.391,89.270,89.094,89.094,88.830,88.127,89.798,89.798,89.710,87.599,87.599,87.511,86.456,86.544,86.631,87.687,90.853
