,RMNH.INS.1271298_An_messeae - COX3 CDS,RMNH.INS.1271299_An_messeae - COX3 CDS,RMNH.INS.1271300_An_messeae - COX3 CDS,RMNH.INS.1271301_Cq_richiardii - COX3 CDS,RMNH.INS.1271302_Cq_richiardii - COX3 CDS,RMNH.INS.1271303_Cq_richiardii - COX3 CDS,RMNH.INS.1271304_Ae_vexans - COX3 CDS,RMNH.INS.1271305_Ae_vexans - COX3 CDS,RMNH.INS.1271306_Ae_vexans - COX3 CDS,RMNH.INS.1271307_Cs_annulata - COX3 CDS,RMNH.INS.1271308_Cs_annulata - COX3 CDS,RMNH.INS.1271309_Cs_annulata - COX3 CDS,RMNH.INS.1271310_An_claviger - COX3 CDS,RMNH.INS.1271311_An_claviger - COX3 CDS,RMNH.INS.1271312_An_claviger - COX3 CDS,RMNH.INS.1271313_Cx_modestus - COX3 CDS,RMNH.INS.1271314_Cx_modestus - COX3 CDS,RMNH.INS.1271315_Cx_modestus - COX3 CDS,RMNH.INS.1271316_Cx_territans - COX3 CDS,RMNH.INS.1271317_Cx_territans - COX3 CDS,RMNH.INS.1271318_Cx_territans - COX3 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271322_Cs_longiareolata - COX3 CDS,RMNH.INS.1271323_Cs_longiareolata - COX3 CDS,RMNH.INS.1271324_Cs_longiareolata - COX3 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 CDS,RMNH.INS.1271331_Ae_rusticus - COX3 CDS,RMNH.INS.1271332_Ae_rusticus - COX3 CDS,RMNH.INS.1271333_Ae_rusticus - COX3 CDS,RMNH.INS.1271334_Ae_communis - COX3 CDS,RMNH.INS.1271335_Ae_communis - COX3 CDS,RMNH.INS.1271336_Ae_communis - COX3 CDS,RMNH.INS.1271337_Ae_punctor - COX3 CDS,RMNH.INS.1271338_Ae_rusticus - COX3 CDS,RMNH.INS.1271339_Ae_punctor - COX3 CDS,RMNH.INS.1271340_Ae_geniculatus - COX3 CDS,RMNH.INS.1271341_Ae_geniculatus - COX3 CDS,RMNH.INS.1271342_Ae_geniculatus - COX3 CDS,RMNH.INS.1271344_Cs_subochrea - COX3 CDS,RMNH.INS.1271345_Cs_annulata - COX3 CDS,RMNH.INS.1271346_Ae_caspius - COX3 CDS,RMNH.INS.1271347_Ae_caspius - COX3 CDS,RMNH.INS.1271348_Ae_caspius - COX3 CDS,RMNH.INS.1271349_An_plumbeus - COX3 CDS,RMNH.INS.1271350_An_plumbeus - COX3 CDS,RMNH.INS.1271351_An_plumbeus - COX3 CDS,RMNH.INS.1271352_Cs_annulata - COX3 CDS,RMNH.INS.1271354_Cs_annulata - COX3 CDS,RMNH.INS.1271355_Cx_pipiens - COX3 CDS,RMNH.INS.1271356_Cx_pipiens - COX3 CDS,RMNH.INS.1271357_Cx_pipiens - COX3 CDS,RMNH.INS.1271358_Cs_morsitans - COX3 CDS,RMNH.INS.1271359_Cs_morsitans - COX3 CDS,RMNH.INS.1271360_Cs_morsitans - COX3 CDS,RMNH.INS.1271361_Ae_sticticus - COX3 CDS,RMNH.INS.1271362_Ae_sticticus - COX3 CDS,RMNH.INS.1271363_Ae_sticticus - COX3 CDS,RMNH.INS.1271367_Ae_detritus - COX3 CDS,RMNH.INS.1271368_Ae_detritus - COX3 CDS,RMNH.INS.1271369_Ae_caspius - COX3 CDS,RMNH.INS.1271370_Ae_flavescens - COX3 CDS,RMNH.INS.1271371_Ae_flavescens - COX3 CDS,RMNH.INS.1271372_Ae_flavescens - COX3 CDS,RMNH.INS.1271375_Ae_leucomelas - COX3 CDS,RMNH.INS.1271376_Ae_albopictus - COX3 CDS,RMNH.INS.1271377_Ae_albopictus - COX3 CDS,RMNH.INS.1271378_Ae_albopictus - COX3 CDS,RMNH.INS.1271379_Ae_japonicus - COX3 CDS,RMNH.INS.1271380_Ae_japonicus - COX3 CDS,RMNH.INS.1271381_Ae_japonicus - COX3 CDS,RMNH.INS.1271382_Ae_aegypti - COX3 CDS,RMNH.INS.1271383_Ae_aegypti - COX3 CDS,RMNH.INS.1271384_Ae_aegypti - COX3 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX3 CDS,RMNH.INS.1271389_Cs_ochroptera - COX3 CDS
RMNH.INS.1271298_An_messeae - COX3 CDS,,99.623,99.245,82.383,82.129,82.383,83.904,83.904,84.030,85.805,85.678,85.805,89.686,89.686,89.811,84.030,84.284,84.411,86.038,86.038,86.038,83.650,83.650,83.777,84.918,84.918,84.918,85.171,85.298,85.044,85.298,85.044,84.791,84.906,84.906,84.906,84.284,84.411,84.411,83.777,84.906,83.777,84.411,84.411,84.411,85.678,85.678,84.411,84.664,84.411,88.050,88.050,88.050,85.678,85.678,85.678,85.551,85.425,84.537,84.537,84.537,84.664,84.664,84.537,84.918,84.284,84.664,85.044,85.044,85.171,85.298,83.143,83.143,83.143,83.397,83.397,83.397,82.510,82.129,82.510,84.030,84.918
RMNH.INS.1271299_An_messeae - COX3 CDS,99.623,,99.371,82.510,82.256,82.510,83.904,83.904,84.030,86.058,85.932,86.058,89.937,89.937,90.063,84.284,84.537,84.664,86.038,86.038,86.038,83.777,83.777,83.904,85.044,85.044,85.044,85.298,85.425,85.171,85.171,85.171,84.918,85.031,85.031,85.031,84.411,84.537,84.537,83.650,85.031,83.650,84.284,84.284,84.284,85.932,85.932,84.537,84.791,84.537,88.302,88.302,88.302,85.932,85.932,85.932,85.805,85.678,84.791,84.791,84.791,84.791,84.791,84.664,85.044,84.411,84.791,85.171,85.171,85.298,85.425,83.270,83.270,83.270,83.270,83.270,83.270,82.636,82.256,82.636,84.157,85.171
RMNH.INS.1271300_An_messeae - COX3 CDS,99.245,99.371,,82.383,82.129,82.383,83.904,83.904,84.030,86.058,85.932,86.058,89.811,89.811,89.937,84.664,84.664,84.791,86.164,86.164,86.164,84.030,84.030,84.157,85.171,85.171,85.171,85.551,85.678,85.171,85.425,85.171,85.425,85.031,85.031,85.031,84.411,84.284,84.284,83.904,85.031,83.904,84.284,84.284,84.284,85.805,85.932,84.791,85.044,84.791,88.302,88.302,88.302,85.932,85.932,85.805,85.678,85.805,84.918,84.918,84.918,84.791,84.791,84.664,85.171,84.537,85.044,85.171,85.171,85.298,85.298,83.143,83.143,83.143,83.523,83.523,83.523,82.636,82.510,82.636,84.157,85.551
RMNH.INS.1271301_Cq_richiardii - COX3 CDS,82.383,82.510,82.383,,99.747,99.747,86.692,86.439,86.565,86.058,85.932,86.058,83.270,83.270,83.143,85.551,85.171,85.551,83.904,83.904,83.904,85.805,85.551,85.425,86.819,86.819,86.819,87.072,86.692,86.819,86.946,86.946,86.946,86.565,86.439,86.439,85.932,85.678,85.678,85.298,86.439,85.298,85.551,85.551,85.551,86.439,85.932,86.439,86.185,86.439,82.129,82.129,82.129,85.932,85.932,87.833,87.833,87.579,85.678,85.678,85.678,85.932,85.932,85.805,85.171,84.918,86.185,86.185,86.185,86.185,85.425,87.579,87.579,87.579,85.298,85.298,85.298,85.551,84.537,84.918,85.805,86.692
RMNH.INS.1271302_Cq_richiardii - COX3 CDS,82.129,82.256,82.129,99.747,,99.747,86.439,86.185,86.312,86.058,85.932,86.058,83.270,83.270,83.143,85.298,84.918,85.298,83.650,83.650,83.650,85.551,85.298,85.171,86.565,86.565,86.565,86.819,86.439,86.565,86.692,86.692,86.692,86.312,86.185,86.185,85.678,85.425,85.425,85.044,86.185,85.044,85.298,85.298,85.298,86.185,85.932,86.185,85.932,86.185,81.876,81.876,81.876,85.932,85.932,87.579,87.579,87.326,85.425,85.425,85.425,85.678,85.678,85.551,84.918,84.664,85.932,85.932,85.932,85.932,85.171,87.326,87.326,87.326,85.044,85.044,85.044,85.298,84.284,84.664,85.551,86.439
RMNH.INS.1271303_Cq_richiardii - COX3 CDS,82.383,82.510,82.383,99.747,99.747,,86.692,86.439,86.565,86.312,86.185,86.312,83.397,83.397,83.270,85.298,85.171,85.551,83.904,83.904,83.904,85.805,85.551,85.425,86.819,86.819,86.819,86.819,86.439,86.692,86.692,86.819,86.819,86.439,86.312,86.312,85.932,85.678,85.678,85.298,86.312,85.298,85.298,85.298,85.298,86.439,86.185,86.312,86.058,86.312,81.876,81.876,81.876,86.185,86.185,87.579,87.579,87.326,85.425,85.425,85.425,85.932,85.932,85.805,85.044,84.791,86.058,85.932,85.932,85.932,85.298,87.579,87.579,87.579,85.298,85.298,85.298,85.551,84.537,84.918,85.805,86.692
RMNH.INS.1271304_Ae_vexans - COX3 CDS,83.904,83.904,83.904,86.692,86.439,86.692,,99.620,99.873,87.326,87.199,87.326,84.791,84.791,84.918,86.439,86.692,86.692,85.425,85.425,85.425,89.354,89.100,88.973,86.058,86.058,86.058,91.762,91.381,91.508,91.635,92.015,92.015,91.001,91.001,91.001,90.241,89.987,89.987,89.987,91.001,89.987,89.100,89.100,89.100,87.199,87.199,91.381,91.635,91.381,84.157,84.157,84.157,87.199,87.199,87.199,87.072,86.946,86.439,86.439,86.439,90.114,90.114,89.987,89.734,89.734,91.635,91.128,91.128,91.255,90.748,89.607,89.607,89.607,89.480,89.480,89.480,90.494,89.861,89.987,89.354,86.819
RMNH.INS.1271305_Ae_vexans - COX3 CDS,83.904,83.904,83.904,86.439,86.185,86.439,99.620,,99.493,87.199,87.072,87.199,84.664,84.664,84.791,86.185,86.692,86.692,85.551,85.551,85.551,89.354,89.100,88.973,86.185,86.185,86.185,91.888,91.508,91.635,91.762,92.142,92.142,91.001,91.001,91.001,90.368,90.114,90.114,90.114,91.001,90.114,88.973,88.973,88.973,87.199,87.072,91.508,91.762,91.508,84.284,84.284,84.284,87.072,87.072,87.072,86.946,86.819,86.439,86.439,86.439,90.114,90.114,89.987,89.861,89.607,91.762,91.255,91.255,91.381,90.875,89.607,89.607,89.607,89.480,89.480,89.480,90.494,89.861,89.987,89.354,86.819
RMNH.INS.1271306_Ae_vexans - COX3 CDS,84.030,84.030,84.030,86.565,86.312,86.565,99.873,99.493,,87.452,87.326,87.452,84.918,84.918,85.044,86.565,86.819,86.819,85.551,85.551,85.551,89.480,89.227,89.100,86.185,86.185,86.185,91.888,91.508,91.635,91.762,91.888,91.888,90.875,90.875,90.875,90.368,90.114,90.114,90.114,90.875,90.114,89.227,89.227,89.227,87.326,87.326,91.508,91.762,91.508,84.157,84.157,84.157,87.326,87.326,87.326,87.199,87.072,86.565,86.565,86.565,89.987,89.987,89.861,89.861,89.861,91.762,91.255,91.255,91.381,90.875,89.734,89.734,89.734,89.354,89.354,89.607,90.621,89.987,90.114,89.480,86.946
RMNH.INS.1271307_Cs_annulata - COX3 CDS,85.805,86.058,86.058,86.058,86.058,86.312,87.326,87.199,87.452,,99.873,99.747,86.058,86.058,86.058,88.213,88.213,88.340,85.678,85.678,85.678,87.199,86.946,86.946,90.114,90.114,90.114,87.959,87.579,87.579,87.833,87.959,87.833,86.819,86.946,86.946,85.805,85.551,85.551,85.425,86.946,85.425,86.058,86.058,86.058,95.564,99.873,87.199,87.579,87.072,86.058,86.058,86.058,99.873,99.873,88.086,87.959,87.706,88.086,88.086,88.086,86.819,86.819,86.946,86.946,86.819,87.579,87.199,87.199,87.326,86.565,87.706,87.706,87.706,85.805,85.805,85.805,87.452,87.199,87.199,87.199,88.720
