,RMNH.INS.1271298_An_messeae - COX2 gene,RMNH.INS.1271299_An_messeae - COX2 gene,RMNH.INS.1271300_An_messeae - COX2 gene,RMNH.INS.1271301_Cq_richiardii - COX2 gene,RMNH.INS.1271302_Cq_richiardii - COX2 gene,RMNH.INS.1271303_Cq_richiardii - COX2 gene,RMNH.INS.1271304_Ae_vexans - COX2 gene,RMNH.INS.1271305_Ae_vexans - COX2 gene,RMNH.INS.1271306_Ae_vexans - COX2 gene,RMNH.INS.1271307_Cs_annulata - COX2 gene,RMNH.INS.1271308_Cs_annulata - COX2 gene,RMNH.INS.1271309_Cs_annulata - COX2 gene,RMNH.INS.1271310_An_claviger - COX2 gene,RMNH.INS.1271311_An_claviger - COX2 gene,RMNH.INS.1271312_An_claviger - COX2 gene,RMNH.INS.1271313_Cx_modestus - COX2 gene,RMNH.INS.1271314_Cx_modestus - COX2 gene,RMNH.INS.1271315_Cx_modestus - COX2 gene,RMNH.INS.1271316_Cx_territans - COX2 gene,RMNH.INS.1271317_Cx_territans - COX2 gene,RMNH.INS.1271318_Cx_territans - COX2 gene,RMNH.INS.1271319_Ae_cinereus - COX2 gene,RMNH.INS.1271320_Ae_cinereus - COX2 gene,RMNH.INS.1271321_Ae_cinereus - COX2 gene,RMNH.INS.1271322_Cs_longiareolata - COX2 gene,RMNH.INS.1271323_Cs_longiareolata - COX2 gene,RMNH.INS.1271324_Cs_longiareolata - COX2 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX2 gene,RMNH.INS.1271331_Ae_rusticus - COX2 gene,RMNH.INS.1271332_Ae_rusticus - COX2 gene,RMNH.INS.1271333_Ae_rusticus - COX2 gene,RMNH.INS.1271334_Ae_communis - COX2 gene,RMNH.INS.1271335_Ae_communis - COX2 gene,RMNH.INS.1271336_Ae_communis - COX2 gene,RMNH.INS.1271337_Ae_punctor - COX2 gene,RMNH.INS.1271338_Ae_rusticus - COX2 gene,RMNH.INS.1271339_Ae_punctor - COX2 gene,RMNH.INS.1271340_Ae_geniculatus - COX2 gene,RMNH.INS.1271341_Ae_geniculatus - COX2 gene,RMNH.INS.1271342_Ae_geniculatus - COX2 gene,RMNH.INS.1271344_Cs_subochrea - COX2 gene,RMNH.INS.1271345_Cs_annulata - COX2 gene,RMNH.INS.1271346_Ae_caspius - COX2 gene,RMNH.INS.1271347_Ae_caspius - COX2 gene,RMNH.INS.1271348_Ae_caspius - COX2 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX2 gene,RMNH.INS.1271352_Cs_annulata - COX2 gene,RMNH.INS.1271354_Cs_annulata - COX2 gene,RMNH.INS.1271355_Cx_pipiens - COX2 gene,RMNH.INS.1271356_Cx_pipiens - COX2 gene,RMNH.INS.1271357_Cx_pipiens - COX2 gene,RMNH.INS.1271358_Cs_morsitans - COX2 gene,RMNH.INS.1271359_Cs_morsitans - COX2 gene,RMNH.INS.1271360_Cs_morsitans - COX2 gene,RMNH.INS.1271361_Ae_sticticus - COX2 gene,RMNH.INS.1271362_Ae_sticticus - COX2 gene,RMNH.INS.1271363_Ae_sticticus - COX2 gene,RMNH.INS.1271367_Ae_detritus - COX2 gene,RMNH.INS.1271368_Ae_detritus - COX2 gene,RMNH.INS.1271369_Ae_caspius - COX2 gene,RMNH.INS.1271370_Ae_flavescens - COX2 gene,RMNH.INS.1271371_Ae_flavescens - COX2 gene,RMNH.INS.1271372_Ae_flavescens - COX2 gene,RMNH.INS.1271375_Ae_leucomelas - COX2 gene,RMNH.INS.1271376_Ae_albopictus - COX2 gene,RMNH.INS.1271377_Ae_albopictus - COX2 gene,RMNH.INS.1271378_Ae_albopictus - COX2 gene,RMNH.INS.1271379_Ae_japonicus - COX2 gene,RMNH.INS.1271380_Ae_japonicus - COX2 gene,RMNH.INS.1271381_Ae_japonicus - COX2 gene,RMNH.INS.1271382_Ae_aegypti - COX2 gene,RMNH.INS.1271383_Ae_aegypti - COX2 gene,RMNH.INS.1271384_Ae_aegypti - COX2 gene,RMNH.INS.1271386_Ae_cinereus - COX2 gene,RMNH.INS.1271389_Cs_ochroptera - COX2 gene
RMNH.INS.1271298_An_messeae - COX2 gene,,99.708,99.561,83.261,83.115,83.115,84.649,84.795,84.649,84.357,84.503,84.503,89.327,89.181,89.327,81.433,81.579,81.579,85.088,84.795,84.795,83.772,83.918,83.626,84.503,84.503,84.503,84.942,85.234,85.234,84.942,85.526,85.673,84.795,84.795,84.795,84.211,84.357,84.503,83.918,84.795,83.918,84.649,84.649,84.649,84.795,84.503,84.064,84.064,83.918,86.257,86.257,86.257,84.503,84.503,83.041,83.041,82.895,83.041,83.041,83.041,83.333,83.333,83.187,83.187,83.626,84.064,85.234,85.234,85.088,85.088,83.626,83.626,83.48,84.211,84.211,83.918,83.626,83.918,83.772,83.626,84.942
RMNH.INS.1271299_An_messeae - COX2 gene,99.708,,99.854,83.261,83.115,83.115,84.942,85.088,84.942,84.649,84.795,84.795,89.474,89.327,89.474,81.725,81.871,81.871,85.38,85.088,85.088,84.064,84.211,83.918,84.795,84.795,84.795,85.234,85.526,85.526,85.234,85.819,85.965,85.088,85.088,85.088,84.503,84.649,84.795,84.211,85.088,84.211,84.942,84.942,84.942,85.088,84.795,84.357,84.357,84.211,86.404,86.404,86.404,84.795,84.795,83.333,83.333,83.187,83.333,83.333,83.333,83.626,83.626,83.48,83.48,83.626,84.357,85.526,85.526,85.38,85.38,83.918,83.918,83.772,84.357,84.357,84.064,83.918,84.211,84.064,83.918,85.234
RMNH.INS.1271300_An_messeae - COX2 gene,99.561,99.854,,83.261,83.115,83.115,85.088,85.234,85.088,84.649,84.795,84.795,89.474,89.327,89.474,81.871,82.018,82.018,85.38,85.088,85.088,84.211,84.357,84.064,84.795,84.795,84.795,85.38,85.673,85.673,85.38,85.965,86.111,85.234,85.234,85.234,84.503,84.649,84.795,84.357,85.234,84.357,85.088,85.088,85.088,85.088,84.795,84.503,84.503,84.357,86.404,86.404,86.404,84.795,84.795,83.48,83.48,83.333,83.333,83.333,83.333,83.626,83.626,83.48,83.626,83.772,84.503,85.673,85.673,85.526,85.526,83.918,83.918,83.772,84.357,84.357,84.064,84.064,84.357,84.211,84.064,85.234
RMNH.INS.1271301_Cq_richiardii - COX2 gene,83.261,83.261,83.261,,99.854,99.854,86.463,86.608,86.463,86.463,86.608,86.754,83.115,82.969,83.115,86.754,86.9,86.9,87.045,86.608,86.608,85.298,85.298,85.007,87.773,87.773,87.773,87.918,88.064,88.064,87.918,88.064,87.918,87.627,87.627,87.627,86.608,86.754,86.754,86.172,87.627,86.172,87.627,87.627,87.627,87.191,86.608,86.463,86.754,86.317,83.697,83.697,83.697,86.608,86.608,86.172,86.172,86.026,86.172,86.172,86.172,86.026,86.026,86.172,86.608,87.191,86.754,88.064,88.064,88.064,86.9,86.608,86.608,86.463,86.463,86.463,86.463,85.153,84.862,85.007,85.007,86.608
RMNH.INS.1271302_Cq_richiardii - COX2 gene,83.115,83.115,83.115,99.854,,100,86.317,86.463,86.317,86.317,86.463,86.608,83.261,83.115,83.261,86.9,87.045,87.045,87.191,86.754,86.754,85.153,85.153,84.862,87.627,87.627,87.627,87.773,87.918,87.918,87.773,87.918,87.773,87.482,87.482,87.482,86.463,86.608,86.608,86.026,87.482,86.026,87.482,87.482,87.482,87.045,86.463,86.317,86.608,86.172,83.843,83.843,83.843,86.463,86.463,86.317,86.317,86.172,86.026,86.026,86.026,85.881,85.881,86.026,86.463,87.045,86.608,87.918,87.918,87.918,86.754,86.463,86.463,86.317,86.608,86.608,86.608,85.007,84.716,84.862,84.862,86.463
RMNH.INS.1271303_Cq_richiardii - COX2 gene,83.115,83.115,83.115,99.854,100,,86.317,86.463,86.317,86.317,86.463,86.608,83.261,83.115,83.261,86.9,87.045,87.045,87.191,86.754,86.754,85.153,85.153,84.862,87.627,87.627,87.627,87.773,87.918,87.918,87.773,87.918,87.773,87.482,87.482,87.482,86.463,86.608,86.608,86.026,87.482,86.026,87.482,87.482,87.482,87.045,86.463,86.317,86.608,86.172,83.843,83.843,83.843,86.463,86.463,86.317,86.317,86.172,86.026,86.026,86.026,85.881,85.881,86.026,86.463,87.045,86.608,87.918,87.918,87.918,86.754,86.463,86.463,86.317,86.608,86.608,86.608,85.007,84.716,84.862,84.862,86.463
RMNH.INS.1271304_Ae_vexans - COX2 gene,84.649,84.942,85.088,86.463,86.317,86.317,,99.854,100,90.058,90.205,90.351,86.257,86.111,86.257,88.158,88.012,88.012,89.474,89.327,89.327,91.374,91.228,90.936,88.743,88.743,88.743,93.86,93.713,94.152,93.86,94.006,93.86,93.275,93.275,93.275,92.69,92.544,92.69,92.982,93.275,92.982,92.69,92.69,92.69,90.643,90.205,93.86,94.006,93.713,85.673,85.673,85.673,90.205,90.205,89.62,89.62,89.474,87.427,87.719,87.719,92.251,92.251,92.105,92.105,91.959,94.006,93.713,93.713,93.713,92.544,89.474,89.474,89.327,89.035,89.035,88.889,89.62,90.058,89.912,90.936,90.497
RMNH.INS.1271305_Ae_vexans - COX2 gene,84.795,85.088,85.234,86.608,86.463,86.463,99.854,,99.854,90.205,90.351,90.497,86.404,86.257,86.404,88.012,87.865,87.865,89.62,89.181,89.181,91.228,91.082,90.789,88.889,88.889,88.889,93.713,93.567,94.006,93.713,93.86,93.713,93.129,93.129,93.129,92.544,92.398,92.544,92.836,93.129,92.836,92.836,92.836,92.836,90.789,90.351,93.713,93.86,93.567,85.819,85.819,85.819,90.351,90.351,89.474,89.474,89.327,87.573,87.865,87.865,92.105,92.105,91.959,92.251,92.105,93.86,93.567,93.567,93.567,92.398,89.62,89.62,89.474,89.181,89.181,89.035,89.474,89.912,89.766,90.789,90.351
RMNH.INS.1271306_Ae_vexans - COX2 gene,84.649,84.942,85.088,86.463,86.317,86.317,100,99.854,,90.058,90.205,90.351,86.257,86.111,86.257,88.158,88.012,88.012,89.474,89.327,89.327,91.374,91.228,90.936,88.743,88.743,88.743,93.86,93.713,94.152,93.86,94.006,93.86,93.275,93.275,93.275,92.69,92.544,92.69,92.982,93.275,92.982,92.69,92.69,92.69,90.643,90.205,93.86,94.006,93.713,85.673,85.673,85.673,90.205,90.205,89.62,89.62,89.474,87.427,87.719,87.719,92.251,92.251,92.105,92.105,91.959,94.006,93.713,93.713,93.713,92.544,89.474,89.474,89.327,89.035,89.035,88.889,89.62,90.058,89.912,90.936,90.497
RMNH.INS.1271307_Cs_annulata - COX2 gene,84.357,84.649,84.649,86.463,86.317,86.317,90.058,90.205,90.058,,99.854,99.708,85.088,84.942,85.088,88.304,87.719,87.865,89.181,88.743,88.743,85.965,85.965,85.673,92.105,92.105,92.105,90.497,90.351,90.643,90.497,90.497,90.351,90.205,90.205,90.205,89.327,89.327,89.327,89.181,90.205,89.181,89.327,89.327,89.327,97.368,99.854,89.62,90.205,89.474,88.304,88.304,88.304,99.854,99.854,89.62,89.62,89.474,91.082,91.082,91.082,89.474,89.474,89.62,88.596,88.596,90.205,89.766,89.766,89.766,89.912,89.035,89.035,88.889,87.865,87.865,87.719,88.45,88.45,88.45,85.673,91.374
