,RMNH.INS.1271298_An_messeae - ND3 gene,RMNH.INS.1271299_An_messeae - ND3 gene,RMNH.INS.1271300_An_messeae - ND3 gene,RMNH.INS.1271301_Cq_richiardii - ND3 gene,RMNH.INS.1271302_Cq_richiardii - ND3 gene,RMNH.INS.1271303_Cq_richiardii - ND3 gene,RMNH.INS.1271304_Ae_vexans - ND3 gene,RMNH.INS.1271305_Ae_vexans - ND3 gene,RMNH.INS.1271306_Ae_vexans - ND3 gene,RMNH.INS.1271307_Cs_annulata - ND3 gene,RMNH.INS.1271308_Cs_annulata - ND3 gene,RMNH.INS.1271309_Cs_annulata - ND3 gene,RMNH.INS.1271310_An_claviger - ND3 gene,RMNH.INS.1271311_An_claviger - ND3 gene,RMNH.INS.1271312_An_claviger - ND3 gene,RMNH.INS.1271313_Cx_modestus - ND3 gene,RMNH.INS.1271314_Cx_modestus - ND3 gene,RMNH.INS.1271315_Cx_modestus - ND3 gene,RMNH.INS.1271316_Cx_territans - ND3 gene,RMNH.INS.1271317_Cx_territans - ND3 gene,RMNH.INS.1271318_Cx_territans - ND3 gene,RMNH.INS.1271319_Ae_cinereus - ND3 gene,RMNH.INS.1271320_Ae_cinereus - ND3 gene,RMNH.INS.1271321_Ae_cinereus - ND3 gene,RMNH.INS.1271322_Cs_longiareolata - ND3 gene,RMNH.INS.1271323_Cs_longiareolata - ND3 gene,RMNH.INS.1271324_Cs_longiareolata - ND3 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND3 gene,RMNH.INS.1271331_Ae_rusticus - ND3 gene,RMNH.INS.1271332_Ae_rusticus - ND3 gene,RMNH.INS.1271333_Ae_rusticus - ND3 gene,RMNH.INS.1271334_Ae_communis - ND3 gene,RMNH.INS.1271335_Ae_communis - ND3 gene,RMNH.INS.1271336_Ae_communis - ND3 gene,RMNH.INS.1271337_Ae_punctor - ND3 gene,RMNH.INS.1271338_Ae_rusticus - ND3 gene,RMNH.INS.1271339_Ae_punctor - ND3 gene,RMNH.INS.1271340_Ae_geniculatus - ND3 gene,RMNH.INS.1271341_Ae_geniculatus - ND3 gene,RMNH.INS.1271342_Ae_geniculatus - ND3 gene,RMNH.INS.1271344_Cs_subochrea - ND3 gene,RMNH.INS.1271345_Cs_annulata - ND3 gene,RMNH.INS.1271346_Ae_caspius - ND3 gene,RMNH.INS.1271347_Ae_caspius - ND3 gene,RMNH.INS.1271348_Ae_caspius - ND3 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND3 gene,RMNH.INS.1271352_Cs_annulata - ND3 gene,RMNH.INS.1271354_Cs_annulata - ND3 gene,RMNH.INS.1271355_Cx_pipiens - ND3 gene,RMNH.INS.1271356_Cx_pipiens - ND3 gene,RMNH.INS.1271357_Cx_pipiens - ND3 gene,RMNH.INS.1271358_Cs_morsitans - ND3 gene,RMNH.INS.1271359_Cs_morsitans - ND3 gene,RMNH.INS.1271360_Cs_morsitans - ND3 gene,RMNH.INS.1271361_Ae_sticticus - ND3 gene,RMNH.INS.1271362_Ae_sticticus - ND3 gene,RMNH.INS.1271363_Ae_sticticus - ND3 gene,RMNH.INS.1271367_Ae_detritus - ND3 gene,RMNH.INS.1271368_Ae_detritus - ND3 gene,RMNH.INS.1271369_Ae_caspius - ND3 gene,RMNH.INS.1271370_Ae_flavescens - ND3 gene,RMNH.INS.1271371_Ae_flavescens - ND3 gene,RMNH.INS.1271372_Ae_flavescens - ND3 gene,RMNH.INS.1271375_Ae_leucomelas - ND3 gene,RMNH.INS.1271376_Ae_albopictus - ND3 gene,RMNH.INS.1271377_Ae_albopictus - ND3 gene,RMNH.INS.1271378_Ae_albopictus - ND3 gene,RMNH.INS.1271379_Ae_japonicus - ND3 gene,RMNH.INS.1271380_Ae_japonicus - ND3 gene,RMNH.INS.1271381_Ae_japonicus - ND3 gene,RMNH.INS.1271382_Ae_aegypti - ND3 gene,RMNH.INS.1271383_Ae_aegypti - ND3 gene,RMNH.INS.1271384_Ae_aegypti - ND3 gene,RMNH.INS.1271386_Ae_cinereus - ND3 gene,RMNH.INS.1271389_Cs_ochroptera - ND3 gene
RMNH.INS.1271298_An_messeae - ND3 gene,,99.435,99.435,80.226,80.226,80.226,85.028,85.028,85.028,83.898,83.898,82.768,87.571,88.136,87.853,84.746,84.746,84.746,84.181,84.181,84.181,84.181,84.463,84.463,83.616,83.616,83.616,84.463,84.181,84.181,84.463,84.463,84.463,83.616,83.898,83.333,82.768,83.051,83.051,80.791,83.616,80.791,83.051,83.051,83.051,82.768,83.898,85.311,85.311,85.028,86.158,86.158,86.158,83.898,83.898,85.028,85.028,85.028,82.203,82.203,82.203,83.051,83.051,83.051,82.486,82.768,85.311,84.181,84.181,84.181,81.073,86.325,86.325,86.325,78.531,78.531,79.096,85.47,85.593,85.593,84.463,82.486
RMNH.INS.1271299_An_messeae - ND3 gene,99.435,,99.435,79.661,79.661,79.661,84.463,84.463,84.463,83.333,83.333,82.203,87.571,87.571,87.853,84.181,84.746,84.746,83.898,83.898,83.898,83.616,83.898,83.898,83.616,83.616,83.616,84.463,84.181,83.616,84.463,83.898,83.898,83.051,83.333,82.768,82.203,82.486,82.486,81.073,83.051,81.073,82.768,82.768,82.768,82.203,83.333,84.746,84.746,84.463,86.158,86.158,86.158,83.333,83.333,84.746,84.746,84.746,82.203,82.203,82.203,82.486,82.486,82.486,81.921,82.203,84.746,83.616,83.616,83.616,80.508,85.755,85.755,85.755,78.531,78.531,79.096,85.185,85.311,85.311,83.898,82.486
RMNH.INS.1271300_An_messeae - ND3 gene,99.435,99.435,,80.226,80.226,80.226,84.463,84.463,84.463,83.333,83.333,82.203,87.571,88.136,87.853,84.746,85.311,85.311,84.463,84.463,84.463,84.181,84.463,84.463,84.181,84.181,84.181,84.463,84.181,83.616,84.463,83.898,83.898,83.616,83.898,83.333,82.768,83.051,83.051,81.073,83.616,81.073,83.333,83.333,83.333,82.203,83.333,85.311,85.311,85.028,86.723,86.723,86.723,83.333,83.333,85.311,85.311,85.311,82.203,82.203,82.203,83.051,83.051,83.051,81.921,82.203,85.311,83.616,83.616,83.616,81.073,85.755,85.755,85.755,78.531,78.531,79.096,85.755,85.876,85.876,84.463,82.486
RMNH.INS.1271301_Cq_richiardii - ND3 gene,80.226,79.661,80.226,,99.435,99.435,85.593,85.593,85.593,85.311,85.311,84.463,81.638,82.203,81.921,86.441,85.311,84.746,84.746,84.746,84.746,85.593,85.311,85.311,86.723,86.723,86.723,84.463,84.181,85.028,84.463,84.746,84.746,86.158,86.441,85.876,84.463,84.746,84.746,82.486,86.158,82.486,84.463,84.463,84.463,85.028,85.311,86.441,86.723,86.158,81.073,81.073,81.073,85.311,85.311,85.593,85.593,85.593,84.746,84.746,84.746,83.898,83.898,83.898,83.898,84.181,86.723,85.028,85.028,85.028,84.463,85.47,85.47,85.47,82.203,82.203,82.768,86.325,86.441,86.441,85.311,85.311
RMNH.INS.1271302_Cq_richiardii - ND3 gene,80.226,79.661,80.226,99.435,,100,85.876,85.876,85.876,85.593,85.593,84.746,81.638,82.203,81.921,86.723,85.593,85.028,85.028,85.028,85.028,85.593,85.311,85.311,86.723,86.723,86.723,84.746,84.463,85.311,84.746,85.028,85.028,86.441,86.723,86.158,84.746,85.028,85.028,82.768,86.441,82.768,84.463,84.463,84.463,85.311,85.593,86.723,87.006,86.441,81.356,81.356,81.356,85.593,85.593,85.876,85.876,85.876,85.028,85.028,85.028,83.898,83.898,83.898,84.181,84.463,87.006,85.311,85.311,85.311,84.746,85.47,85.47,85.47,82.486,82.486,83.051,86.325,86.441,86.441,85.311,85.593
RMNH.INS.1271303_Cq_richiardii - ND3 gene,80.226,79.661,80.226,99.435,100,,85.876,85.876,85.876,85.593,85.593,84.746,81.638,82.203,81.921,86.723,85.593,85.028,85.028,85.028,85.028,85.593,85.311,85.311,86.723,86.723,86.723,84.746,84.463,85.311,84.746,85.028,85.028,86.441,86.723,86.158,84.746,85.028,85.028,82.768,86.441,82.768,84.463,84.463,84.463,85.311,85.593,86.723,87.006,86.441,81.356,81.356,81.356,85.593,85.593,85.876,85.876,85.876,85.028,85.028,85.028,83.898,83.898,83.898,84.181,84.463,87.006,85.311,85.311,85.311,84.746,85.47,85.47,85.47,82.486,82.486,83.051,86.325,86.441,86.441,85.311,85.593
RMNH.INS.1271304_Ae_vexans - ND3 gene,85.028,84.463,84.463,85.593,85.876,85.876,,100,100,90.678,90.678,89.831,83.333,83.898,83.616,89.831,89.266,88.136,88.983,88.983,88.983,91.243,91.525,91.525,88.983,88.983,88.983,94.35,94.068,94.068,94.35,93.785,93.785,93.785,94.068,93.503,91.525,91.525,91.525,90.96,93.785,90.96,93.22,93.22,93.22,89.831,90.678,95.198,95.198,94.915,81.921,81.921,81.921,90.678,90.678,89.831,89.831,89.831,88.418,88.418,88.418,90.678,90.678,90.678,93.503,93.785,95.198,93.503,93.503,93.503,91.525,94.017,94.017,94.017,87.853,87.853,88.418,92.308,92.655,92.655,91.525,88.418
RMNH.INS.1271305_Ae_vexans - ND3 gene,85.028,84.463,84.463,85.593,85.876,85.876,100,,100,90.678,90.678,89.831,83.333,83.898,83.616,89.831,89.266,88.136,88.983,88.983,88.983,91.243,91.525,91.525,88.983,88.983,88.983,94.35,94.068,94.068,94.35,93.785,93.785,93.785,94.068,93.503,91.525,91.525,91.525,90.96,93.785,90.96,93.22,93.22,93.22,89.831,90.678,95.198,95.198,94.915,81.921,81.921,81.921,90.678,90.678,89.831,89.831,89.831,88.418,88.418,88.418,90.678,90.678,90.678,93.503,93.785,95.198,93.503,93.503,93.503,91.525,94.017,94.017,94.017,87.853,87.853,88.418,92.308,92.655,92.655,91.525,88.418
RMNH.INS.1271306_Ae_vexans - ND3 gene,85.028,84.463,84.463,85.593,85.876,85.876,100,100,,90.678,90.678,89.831,83.333,83.898,83.616,89.831,89.266,88.136,88.983,88.983,88.983,91.243,91.525,91.525,88.983,88.983,88.983,94.35,94.068,94.068,94.35,93.785,93.785,93.785,94.068,93.503,91.525,91.525,91.525,90.96,93.785,90.96,93.22,93.22,93.22,89.831,90.678,95.198,95.198,94.915,81.921,81.921,81.921,90.678,90.678,89.831,89.831,89.831,88.418,88.418,88.418,90.678,90.678,90.678,93.503,93.785,95.198,93.503,93.503,93.503,91.525,94.017,94.017,94.017,87.853,87.853,88.418,92.308,92.655,92.655,91.525,88.418
RMNH.INS.1271307_Cs_annulata - ND3 gene,83.898,83.333,83.333,85.311,85.593,85.593,90.678,90.678,90.678,,100,98.039,86.723,87.288,87.006,88.796,87.955,88.235,90.678,90.678,90.678,88.796,89.076,89.076,89.076,89.076,89.076,90.678,90.395,90.96,90.678,90.678,90.678,90.678,90.96,90.395,87.853,88.136,88.136,87.571,90.678,87.571,88.983,88.983,88.983,96.078,100,90.395,90.395,90.395,84.463,84.463,84.463,100,100,89.916,89.916,89.916,91.597,91.597,91.597,88.701,88.701,88.701,90.113,90.395,90.395,90.395,90.395,90.395,86.441,89.744,89.744,89.744,85.876,85.876,86.158,89.174,89.266,89.266,89.076,91.317
