,RMNH.INS.1271298_An_messeae - COX1 gene,RMNH.INS.1271299_An_messeae - COX1 gene,RMNH.INS.1271300_An_messeae - COX1 gene,RMNH.INS.1271301_Cq_richiardii - COX1 gene,RMNH.INS.1271302_Cq_richiardii - COX1 gene,RMNH.INS.1271303_Cq_richiardii - COX1 gene,RMNH.INS.1271304_Ae_vexans - COX1 gene,RMNH.INS.1271305_Ae_vexans - COX1 gene,RMNH.INS.1271306_Ae_vexans - COX1 gene,RMNH.INS.1271307_Cs_annulata - COX1 gene,RMNH.INS.1271308_Cs_annulata - COX1 gene,RMNH.INS.1271309_Cs_annulata - COX1 gene,RMNH.INS.1271310_An_claviger - COX1 gene,RMNH.INS.1271311_An_claviger - COX1 gene,RMNH.INS.1271312_An_claviger - COX1 gene,RMNH.INS.1271313_Cx_modestus - COX1 gene,RMNH.INS.1271314_Cx_modestus - COX1 gene,RMNH.INS.1271315_Cx_modestus - COX1 gene,RMNH.INS.1271316_Cx_territans - COX1 gene,RMNH.INS.1271317_Cx_territans - COX1 gene,RMNH.INS.1271318_Cx_territans - COX1 gene,RMNH.INS.1271319_Ae_cinereus - COX1 gene,RMNH.INS.1271320_Ae_cinereus - COX1 gene,RMNH.INS.1271321_Ae_cinereus - COX1 gene,RMNH.INS.1271322_Cs_longiareolata - COX1 gene,RMNH.INS.1271323_Cs_longiareolata - COX1 gene,RMNH.INS.1271324_Cs_longiareolata - COX1 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271331_Ae_rusticus - COX1 gene,RMNH.INS.1271332_Ae_rusticus - COX1 gene,RMNH.INS.1271333_Ae_rusticus - COX1 gene,RMNH.INS.1271334_Ae_communis - COX1 gene,RMNH.INS.1271335_Ae_communis - COX1 gene,RMNH.INS.1271336_Ae_communis - COX1 gene,RMNH.INS.1271337_Ae_punctor - COX1 gene,RMNH.INS.1271338_Ae_rusticus - COX1 gene,RMNH.INS.1271339_Ae_punctor - COX1 gene,RMNH.INS.1271340_Ae_geniculatus - COX1 gene,RMNH.INS.1271341_Ae_geniculatus - COX1 gene,RMNH.INS.1271342_Ae_geniculatus - COX1 gene,RMNH.INS.1271344_Cs_subochrea - COX1 gene,RMNH.INS.1271345_Cs_annulata - COX1 gene,RMNH.INS.1271346_Ae_caspius - COX1 gene,RMNH.INS.1271347_Ae_caspius - COX1 gene,RMNH.INS.1271348_Ae_caspius - COX1 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271352_Cs_annulata - COX1 gene,RMNH.INS.1271354_Cs_annulata - COX1 gene,RMNH.INS.1271355_Cx_pipiens - COX1 gene,RMNH.INS.1271356_Cx_pipiens - COX1 gene,RMNH.INS.1271357_Cx_pipiens - COX1 gene,RMNH.INS.1271358_Cs_morsitans - COX1 gene,RMNH.INS.1271359_Cs_morsitans - COX1 gene,RMNH.INS.1271360_Cs_morsitans - COX1 gene,RMNH.INS.1271361_Ae_sticticus - COX1 gene,RMNH.INS.1271362_Ae_sticticus - COX1 gene,RMNH.INS.1271363_Ae_sticticus - COX1 gene,RMNH.INS.1271367_Ae_detritus - COX1 gene,RMNH.INS.1271368_Ae_detritus - COX1 gene,RMNH.INS.1271369_Ae_caspius - COX1 gene,RMNH.INS.1271370_Ae_flavescens - COX1 gene,RMNH.INS.1271371_Ae_flavescens - COX1 gene,RMNH.INS.1271372_Ae_flavescens - COX1 gene,RMNH.INS.1271375_Ae_leucomelas - COX1 gene,RMNH.INS.1271376_Ae_albopictus - COX1 gene,RMNH.INS.1271377_Ae_albopictus - COX1 gene,RMNH.INS.1271378_Ae_albopictus - COX1 gene,RMNH.INS.1271379_Ae_japonicus - COX1 gene,RMNH.INS.1271380_Ae_japonicus - COX1 gene,RMNH.INS.1271381_Ae_japonicus - COX1 gene,RMNH.INS.1271382_Ae_aegypti - COX1 gene,RMNH.INS.1271383_Ae_aegypti - COX1 gene,RMNH.INS.1271384_Ae_aegypti - COX1 gene,RMNH.INS.1271386_Ae_cinereus - COX1 gene,RMNH.INS.1271389_Cs_ochroptera - COX1 gene
RMNH.INS.1271298_An_messeae - COX1 gene,,99.848,98.936,83.131,82.979,82.979,86.474,86.626,86.474,87.082,87.082,86.93,88.906,88.906,88.906,87.842,87.386,87.386,86.17,86.018,86.17,86.018,86.018,86.018,86.018,86.018,86.018,85.258,85.562,86.322,85.106,85.866,85.714,86.778,86.474,86.474,87.538,87.538,87.538,85.714,86.474,85.714,85.866,85.866,85.866,86.322,87.082,87.386,87.69,87.386,86.626,86.626,86.626,87.082,87.082,87.234,87.234,87.082,84.498,84.347,84.347,85.258,85.258,85.258,86.626,87.082,87.842,85.714,85.714,85.41,86.018,85.866,85.866,85.866,87.234,87.234,87.69,83.891,84.802,84.347,85.866,86.018
RMNH.INS.1271299_An_messeae - COX1 gene,99.848,,98.784,82.979,82.827,82.827,86.322,86.474,86.322,87.234,87.234,87.082,88.754,88.754,88.754,87.994,87.538,87.538,86.322,86.17,86.322,86.17,86.17,86.17,86.17,86.17,86.17,85.41,85.714,86.474,85.258,86.018,85.866,86.626,86.322,86.322,87.386,87.386,87.386,85.866,86.322,85.866,86.018,86.018,86.018,86.474,87.234,87.538,87.842,87.538,86.778,86.778,86.778,87.234,87.234,87.386,87.386,87.234,84.65,84.498,84.498,85.41,85.41,85.41,86.778,87.234,87.994,85.866,85.866,85.562,85.866,86.018,86.018,86.018,87.386,87.386,87.842,84.043,84.954,84.498,86.018,86.17
RMNH.INS.1271300_An_messeae - COX1 gene,98.936,98.784,,83.131,83.283,83.283,86.322,86.474,86.322,86.778,86.778,86.626,88.298,88.298,88.298,87.386,86.93,86.93,86.322,86.17,86.322,85.866,85.866,85.866,85.866,85.866,85.866,85.106,85.41,85.866,84.954,85.714,85.562,86.626,86.322,86.322,87.69,87.69,87.69,85.41,86.322,85.41,85.41,85.41,85.41,86.17,86.778,87.082,87.69,87.386,86.474,86.474,86.474,86.778,86.778,86.626,86.626,86.474,84.954,84.802,84.802,85.258,85.258,85.258,86.018,87.082,87.842,85.258,85.258,84.954,86.17,85.106,85.106,85.106,87.234,87.234,87.69,83.283,84.195,84.954,85.714,85.714
RMNH.INS.1271301_Cq_richiardii - COX1 gene,83.131,82.979,83.131,,99.848,99.848,85.41,85.562,85.41,85.41,85.41,85.258,84.043,84.043,84.043,87.386,86.626,86.626,85.562,85.41,85.258,83.891,83.891,83.891,86.474,86.474,86.474,83.131,83.131,83.435,82.979,83.283,83.435,85.562,85.258,85.258,85.562,85.562,85.562,84.65,85.258,84.65,84.498,84.498,84.498,84.65,85.41,84.954,85.41,85.41,82.675,82.675,82.675,85.41,85.41,86.778,86.778,86.93,84.954,84.802,84.802,84.65,84.65,84.65,84.043,84.498,85.562,83.283,83.283,83.131,86.17,82.979,82.979,82.827,84.954,84.954,85.41,84.195,85.106,84.65,83.739,85.41
RMNH.INS.1271302_Cq_richiardii - COX1 gene,82.979,82.827,83.283,99.848,,100,85.41,85.562,85.41,85.258,85.258,85.106,84.043,84.043,84.043,87.234,86.474,86.474,85.562,85.41,85.258,83.739,83.739,83.739,86.322,86.322,86.322,83.131,83.131,83.435,82.979,83.283,83.435,85.41,85.106,85.106,85.562,85.562,85.562,84.65,85.106,84.65,84.347,84.347,84.347,84.498,85.258,84.954,85.41,85.41,82.523,82.523,82.523,85.258,85.258,86.626,86.626,86.778,85.106,84.954,84.954,84.498,84.498,84.498,83.891,84.65,85.562,83.283,83.283,83.131,86.17,82.827,82.827,82.675,84.802,84.802,85.258,84.043,84.954,84.802,83.587,85.258
RMNH.INS.1271303_Cq_richiardii - COX1 gene,82.979,82.827,83.283,99.848,100,,85.41,85.562,85.41,85.258,85.258,85.106,84.043,84.043,84.043,87.234,86.474,86.474,85.562,85.41,85.258,83.739,83.739,83.739,86.322,86.322,86.322,83.131,83.131,83.435,82.979,83.283,83.435,85.41,85.106,85.106,85.562,85.562,85.562,84.65,85.106,84.65,84.347,84.347,84.347,84.498,85.258,84.954,85.41,85.41,82.523,82.523,82.523,85.258,85.258,86.626,86.626,86.778,85.106,84.954,84.954,84.498,84.498,84.498,83.891,84.65,85.562,83.283,83.283,83.131,86.17,82.827,82.827,82.675,84.802,84.802,85.258,84.043,84.954,84.802,83.587,85.258
RMNH.INS.1271304_Ae_vexans - COX1 gene,86.474,86.322,86.322,85.41,85.41,85.41,,99.848,99.848,87.234,87.082,87.082,84.954,84.954,84.954,88.906,88.146,88.298,86.322,86.17,86.018,88.298,88.298,88.298,88.146,88.146,88.146,87.994,87.994,88.146,87.842,88.45,88.298,91.337,91.337,91.337,89.362,89.362,89.362,88.146,91.337,88.146,87.842,87.842,87.842,87.386,87.082,89.818,89.97,89.818,84.65,84.65,84.65,87.082,87.082,89.21,89.21,89.058,86.322,86.018,86.018,89.818,89.818,89.818,89.058,89.666,89.97,87.994,87.994,87.994,89.058,87.994,87.994,87.842,89.058,89.058,89.21,89.058,89.21,89.058,88.45,89.21
RMNH.INS.1271305_Ae_vexans - COX1 gene,86.626,86.474,86.474,85.562,85.562,85.562,99.848,,99.848,87.386,87.234,87.234,85.106,85.106,85.106,89.058,88.298,88.45,86.474,86.322,86.17,88.45,88.45,88.45,88.298,88.298,88.298,88.146,88.146,88.298,87.994,88.602,88.45,91.489,91.489,91.489,89.514,89.514,89.514,88.298,91.489,88.298,87.994,87.994,87.994,87.538,87.234,89.97,90.122,89.97,84.802,84.802,84.802,87.234,87.234,89.362,89.362,89.21,86.474,86.17,86.17,89.97,89.97,89.97,89.21,89.818,90.122,88.146,88.146,88.146,89.21,88.146,88.146,87.994,89.21,89.21,89.362,89.21,89.362,89.21,88.602,89.21
RMNH.INS.1271306_Ae_vexans - COX1 gene,86.474,86.322,86.322,85.41,85.41,85.41,99.848,99.848,,87.234,87.082,87.082,84.954,84.954,84.954,88.906,88.146,88.298,86.322,86.17,86.018,88.298,88.298,88.298,88.146,88.146,88.146,87.994,87.994,88.146,87.842,88.45,88.298,91.337,91.337,91.337,89.362,89.362,89.362,88.146,91.337,88.146,87.842,87.842,87.842,87.386,87.082,89.818,89.97,89.818,84.65,84.65,84.65,87.082,87.082,89.21,89.21,89.058,86.322,86.018,86.018,89.818,89.818,89.818,89.058,89.666,89.97,87.994,87.994,87.994,89.058,87.994,87.994,87.842,89.058,89.058,89.21,89.058,89.21,89.058,88.45,89.21
RMNH.INS.1271307_Cs_annulata - COX1 gene,87.082,87.234,86.778,85.41,85.258,85.258,87.234,87.386,87.234,,99.848,99.696,84.498,84.498,84.498,87.69,86.93,87.082,88.602,88.45,88.602,85.41,85.41,85.41,89.058,89.058,89.058,84.954,85.41,85.866,84.802,85.714,85.714,89.818,89.514,89.514,87.234,87.234,87.234,86.626,89.514,86.626,87.082,87.082,87.082,96.505,99.848,87.69,87.994,88.146,84.802,84.802,84.802,99.848,99.848,87.842,87.842,87.994,88.45,88.146,88.146,87.386,87.386,87.386,87.842,87.994,87.994,86.474,86.474,86.17,87.994,85.866,85.866,85.714,85.41,85.41,85.866,83.587,84.802,84.65,85.258,90.122
