,RMNH.INS.1271298_An_messeae - ND6 CDS,RMNH.INS.1271299_An_messeae - ND6 CDS,RMNH.INS.1271300_An_messeae - ND6 CDS,RMNH.INS.1271301_Cq_richiardii - ND6 CDS,RMNH.INS.1271302_Cq_richiardii - ND6 CDS,RMNH.INS.1271303_Cq_richiardii - ND6 CDS,RMNH.INS.1271304_Ae_vexans - ND6 CDS,RMNH.INS.1271305_Ae_vexans - ND6 CDS,RMNH.INS.1271306_Ae_vexans - ND6 CDS,RMNH.INS.1271307_Cs_annulata - ND6 CDS,RMNH.INS.1271308_Cs_annulata - ND6 CDS,RMNH.INS.1271309_Cs_annulata - ND6 CDS,RMNH.INS.1271310_An_claviger - ND6 CDS,RMNH.INS.1271311_An_claviger - ND6 CDS,RMNH.INS.1271312_An_claviger - ND6 CDS,RMNH.INS.1271313_Cx_modestus - ND6 CDS,RMNH.INS.1271314_Cx_modestus - ND6 CDS,RMNH.INS.1271315_Cx_modestus - ND6 CDS,RMNH.INS.1271316_Cx_territans - ND6 CDS,RMNH.INS.1271317_Cx_territans - ND6 CDS,RMNH.INS.1271318_Cx_territans - ND6 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271322_Cs_longiareolata - ND6 CDS,RMNH.INS.1271323_Cs_longiareolata - ND6 CDS,RMNH.INS.1271324_Cs_longiareolata - ND6 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 CDS,RMNH.INS.1271331_Ae_rusticus - ND6 CDS,RMNH.INS.1271332_Ae_rusticus - ND6 CDS,RMNH.INS.1271333_Ae_rusticus - ND6 CDS,RMNH.INS.1271334_Ae_communis - ND6 CDS,RMNH.INS.1271335_Ae_communis - ND6 CDS,RMNH.INS.1271336_Ae_communis - ND6 CDS,RMNH.INS.1271337_Ae_punctor - ND6 CDS,RMNH.INS.1271338_Ae_rusticus - ND6 CDS,RMNH.INS.1271339_Ae_punctor - ND6 CDS,RMNH.INS.1271340_Ae_geniculatus - ND6 CDS,RMNH.INS.1271341_Ae_geniculatus - ND6 CDS,RMNH.INS.1271342_Ae_geniculatus - ND6 CDS,RMNH.INS.1271344_Cs_subochrea - ND6 CDS,RMNH.INS.1271345_Cs_annulata - ND6 CDS,RMNH.INS.1271346_Ae_caspius - ND6 CDS,RMNH.INS.1271347_Ae_caspius - ND6 CDS,RMNH.INS.1271348_Ae_caspius - ND6 CDS,RMNH.INS.1271349_An_plumbeus - ND6 CDS,RMNH.INS.1271350_An_plumbeus - ND6 CDS,RMNH.INS.1271351_An_plumbeus - ND6 CDS,RMNH.INS.1271352_Cs_annulata - ND6 CDS,RMNH.INS.1271354_Cs_annulata - ND6 CDS,RMNH.INS.1271355_Cx_pipiens - ND6 CDS,RMNH.INS.1271356_Cx_pipiens - ND6 CDS,RMNH.INS.1271357_Cx_pipiens - ND6 CDS,RMNH.INS.1271358_Cs_morsitans - ND6 CDS,RMNH.INS.1271359_Cs_morsitans - ND6 CDS,RMNH.INS.1271360_Cs_morsitans - ND6 CDS,RMNH.INS.1271361_Ae_sticticus - ND6 CDS,RMNH.INS.1271362_Ae_sticticus - ND6 CDS,RMNH.INS.1271363_Ae_sticticus - ND6 CDS,RMNH.INS.1271367_Ae_detritus - ND6 CDS,RMNH.INS.1271368_Ae_detritus - ND6 CDS,RMNH.INS.1271369_Ae_caspius - ND6 CDS,RMNH.INS.1271370_Ae_flavescens - ND6 CDS,RMNH.INS.1271371_Ae_flavescens - ND6 CDS,RMNH.INS.1271372_Ae_flavescens - ND6 CDS,RMNH.INS.1271375_Ae_leucomelas - ND6 CDS,RMNH.INS.1271376_Ae_albopictus - ND6 CDS,RMNH.INS.1271377_Ae_albopictus - ND6 CDS,RMNH.INS.1271378_Ae_albopictus - ND6 CDS,RMNH.INS.1271379_Ae_japonicus - ND6 CDS,RMNH.INS.1271380_Ae_japonicus - ND6 CDS,RMNH.INS.1271381_Ae_japonicus - ND6 CDS,RMNH.INS.1271382_Ae_aegypti - ND6 CDS,RMNH.INS.1271383_Ae_aegypti - ND6 CDS,RMNH.INS.1271384_Ae_aegypti - ND6 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND6 CDS,RMNH.INS.1271389_Cs_ochroptera - ND6 CDS
RMNH.INS.1271298_An_messeae - ND6 CDS,,99.619,99.810,72.745,72.941,73.137,79.769,79.769,79.769,78.682,78.682,78.295,86.476,86.286,86.476,79.651,79.457,78.682,78.488,78.488,78.488,77.778,77.586,77.586,79.191,79.191,79.191,77.264,77.264,77.842,77.071,77.071,76.879,79.576,79.576,79.576,76.301,76.108,76.108,76.108,79.576,76.301,78.035,78.035,78.035,77.264,78.682,79.191,79.383,79.191,84.571,84.571,84.571,78.682,78.682,79.457,79.457,79.457,76.437,76.245,76.437,78.161,78.161,78.613,76.493,76.686,79.191,78.420,78.420,78.227,76.879,76.493,76.686,76.493,76.493,76.493,76.493,76.686,76.108,76.879,77.586,78.035
RMNH.INS.1271299_An_messeae - ND6 CDS,99.619,,99.429,72.745,72.941,73.137,79.769,79.769,79.769,78.682,78.682,78.295,86.476,86.286,86.476,79.457,79.264,78.488,78.488,78.488,78.488,77.778,77.586,77.586,79.191,79.191,79.191,77.264,77.264,77.842,77.071,77.071,76.879,79.576,79.576,79.576,76.301,76.108,76.108,76.108,79.576,76.301,78.035,78.035,78.035,77.264,78.682,79.191,79.383,79.191,84.571,84.571,84.571,78.682,78.682,79.264,79.264,79.264,76.437,76.245,76.437,78.161,78.161,78.613,76.493,76.686,79.191,78.420,78.420,78.227,76.493,76.493,76.686,76.493,76.493,76.493,76.493,76.686,76.108,76.879,77.586,78.035
RMNH.INS.1271300_An_messeae - ND6 CDS,99.810,99.429,,72.549,72.745,72.941,79.576,79.576,79.576,78.488,78.488,78.101,86.286,86.095,86.286,79.457,79.264,78.488,78.295,78.295,78.295,77.586,77.395,77.395,78.998,78.998,78.998,77.071,77.071,77.649,76.879,76.879,76.686,79.383,79.383,79.383,76.108,75.915,75.915,75.915,79.383,76.108,77.842,77.842,77.842,77.071,78.488,78.998,79.191,78.998,84.381,84.381,84.381,78.488,78.488,79.264,79.264,79.264,76.245,76.054,76.245,77.969,77.969,78.420,76.301,76.493,78.998,78.227,78.227,78.035,76.686,76.301,76.493,76.301,76.493,76.493,76.493,76.493,75.915,76.686,77.395,77.842
RMNH.INS.1271301_Cq_richiardii - ND6 CDS,72.745,72.745,72.549,,99.804,99.608,75.490,75.490,75.294,78.431,78.431,78.039,74.118,73.922,74.118,73.725,72.941,72.549,76.078,76.078,76.078,73.333,73.137,73.137,75.686,75.686,75.686,74.510,74.706,74.510,74.510,74.314,74.118,75.882,75.882,75.882,73.333,73.137,73.137,72.353,75.882,72.157,75.294,75.294,75.294,78.627,78.431,74.706,74.510,74.706,75.686,75.686,75.686,78.431,78.431,75.882,75.882,75.882,77.843,77.647,77.843,73.922,73.922,73.725,73.725,73.922,74.510,74.118,74.118,74.118,75.098,76.078,76.078,76.078,73.333,73.333,73.333,75.294,74.706,75.490,73.137,77.843
RMNH.INS.1271302_Cq_richiardii - ND6 CDS,72.941,72.941,72.745,99.804,,99.804,75.686,75.686,75.490,78.627,78.627,78.235,74.314,74.118,74.314,73.922,73.137,72.745,76.275,76.275,76.275,73.529,73.333,73.333,75.882,75.882,75.882,74.706,74.902,74.706,74.706,74.510,74.314,76.078,76.078,76.078,73.529,73.333,73.333,72.549,76.078,72.353,75.490,75.490,75.490,78.824,78.627,74.902,74.706,74.902,75.882,75.882,75.882,78.627,78.627,76.078,76.078,76.078,78.039,77.843,78.039,74.118,74.118,73.922,73.922,74.118,74.706,74.314,74.314,74.314,75.294,76.275,76.275,76.275,73.529,73.529,73.529,75.490,74.902,75.686,73.333,78.039
RMNH.INS.1271303_Cq_richiardii - ND6 CDS,73.137,73.137,72.941,99.608,99.804,,75.882,75.882,75.686,78.824,78.824,78.431,74.314,74.118,74.314,74.118,73.333,72.941,76.078,76.078,76.078,73.725,73.529,73.529,75.882,75.882,75.882,74.902,75.098,74.902,74.902,74.706,74.510,76.078,76.078,76.078,73.725,73.529,73.529,72.745,76.078,72.549,75.490,75.490,75.490,78.824,78.824,75.098,74.902,75.098,75.882,75.882,75.882,78.824,78.824,76.275,76.275,76.275,78.235,78.039,78.235,74.314,74.314,74.118,74.118,74.314,74.902,74.510,74.510,74.510,75.490,76.471,76.471,76.471,73.725,73.725,73.725,75.294,74.706,75.490,73.529,78.235
RMNH.INS.1271304_Ae_vexans - ND6 CDS,79.769,79.769,79.576,75.490,75.686,75.882,,100.000,99.807,83.527,83.527,83.140,78.805,78.420,78.613,81.395,81.395,80.814,81.977,81.977,81.977,89.403,89.210,89.210,81.888,81.888,81.888,89.017,89.403,89.210,89.210,88.439,88.439,92.100,91.908,92.100,88.054,87.861,87.861,85.742,92.100,85.742,88.825,88.825,88.825,82.852,83.527,92.486,92.486,92.486,81.118,81.118,81.118,83.527,83.527,83.915,83.915,83.915,84.586,84.586,84.586,86.705,86.705,86.898,89.210,88.825,92.293,89.403,89.403,89.210,89.595,84.200,84.200,84.200,86.513,86.513,86.513,86.705,85.934,86.705,89.210,85.356
RMNH.INS.1271305_Ae_vexans - ND6 CDS,79.769,79.769,79.576,75.490,75.686,75.882,100.000,,99.807,83.527,83.527,83.140,78.805,78.420,78.613,81.395,81.395,80.814,81.977,81.977,81.977,89.403,89.210,89.210,81.888,81.888,81.888,89.017,89.403,89.210,89.210,88.439,88.439,92.100,91.908,92.100,88.054,87.861,87.861,85.742,92.100,85.742,88.825,88.825,88.825,82.852,83.527,92.486,92.486,92.486,81.118,81.118,81.118,83.527,83.527,83.915,83.915,83.915,84.586,84.586,84.586,86.705,86.705,86.898,89.210,88.825,92.293,89.403,89.403,89.210,89.595,84.200,84.200,84.200,86.513,86.513,86.513,86.705,85.934,86.705,89.210,85.356
RMNH.INS.1271306_Ae_vexans - ND6 CDS,79.769,79.769,79.576,75.294,75.490,75.686,99.807,99.807,,83.721,83.721,83.333,78.805,78.420,78.613,81.589,81.589,81.008,82.171,82.171,82.171,89.595,89.403,89.403,82.081,82.081,82.081,88.825,89.210,89.017,89.017,88.247,88.247,91.908,91.715,91.908,87.861,87.669,87.669,85.549,91.908,85.549,89.017,89.017,89.017,83.044,83.721,92.293,92.293,92.293,81.118,81.118,81.118,83.721,83.721,84.109,84.109,84.109,84.393,84.393,84.393,86.898,86.898,87.091,89.403,89.017,92.100,89.210,89.210,89.017,89.403,84.393,84.393,84.393,86.705,86.705,86.705,86.513,85.742,86.513,89.403,85.549
RMNH.INS.1271307_Cs_annulata - ND6 CDS,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,,100.000,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,81.202,81.008,81.008,80.233,84.302,80.233,83.721,83.721,83.721,94.767,100.000,83.721,83.915,83.721,81.202,81.202,81.202,100.000,100.000,86.240,86.240,86.240,86.628,86.434,86.628,81.977,81.977,81.977,83.527,82.946,83.721,83.915,83.915,83.721,83.140,82.364,82.171,82.364,82.752,82.752,82.752,81.395,81.008,81.977,82.752,87.597
