,RMNH.INS.1271298_An_messeae - ATP6 CDS,RMNH.INS.1271299_An_messeae - ATP6 CDS,RMNH.INS.1271300_An_messeae - ATP6 CDS,RMNH.INS.1271301_Cq_richiardii - ATP6 CDS,RMNH.INS.1271302_Cq_richiardii - ATP6 CDS,RMNH.INS.1271303_Cq_richiardii - ATP6 CDS,RMNH.INS.1271304_Ae_vexans - ATP6 CDS,RMNH.INS.1271305_Ae_vexans - ATP6 CDS,RMNH.INS.1271306_Ae_vexans - ATP6 CDS,RMNH.INS.1271307_Cs_annulata - ATP6 CDS,RMNH.INS.1271308_Cs_annulata - ATP6 CDS,RMNH.INS.1271309_Cs_annulata - ATP6 CDS,RMNH.INS.1271310_An_claviger - ATP6 CDS,RMNH.INS.1271311_An_claviger - ATP6 CDS,RMNH.INS.1271312_An_claviger - ATP6 CDS,RMNH.INS.1271313_Cx_modestus - ATP6 CDS,RMNH.INS.1271314_Cx_modestus - ATP6 CDS,RMNH.INS.1271315_Cx_modestus - ATP6 CDS,RMNH.INS.1271316_Cx_territans - ATP6 CDS,RMNH.INS.1271317_Cx_territans - ATP6 CDS,RMNH.INS.1271318_Cx_territans - ATP6 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ATP6 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ATP6 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ATP6 CDS,RMNH.INS.1271322_Cs_longiareolata - ATP6 CDS,RMNH.INS.1271323_Cs_longiareolata - ATP6 CDS,RMNH.INS.1271324_Cs_longiareolata - ATP6 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ATP6 CDS,RMNH.INS.1271331_Ae_rusticus - ATP6 CDS,RMNH.INS.1271332_Ae_rusticus - ATP6 CDS,RMNH.INS.1271333_Ae_rusticus - ATP6 CDS,RMNH.INS.1271334_Ae_communis - ATP6 CDS,RMNH.INS.1271335_Ae_communis - ATP6 CDS,RMNH.INS.1271336_Ae_communis - ATP6 CDS,RMNH.INS.1271337_Ae_punctor - ATP6 CDS,RMNH.INS.1271338_Ae_rusticus - ATP6 CDS,RMNH.INS.1271339_Ae_punctor - ATP6 CDS,RMNH.INS.1271340_Ae_geniculatus - ATP6 CDS,RMNH.INS.1271341_Ae_geniculatus - ATP6 CDS,RMNH.INS.1271342_Ae_geniculatus - ATP6 CDS,RMNH.INS.1271344_Cs_subochrea - ATP6 CDS,RMNH.INS.1271345_Cs_annulata - ATP6 CDS,RMNH.INS.1271346_Ae_caspius - ATP6 CDS,RMNH.INS.1271347_Ae_caspius - ATP6 CDS,RMNH.INS.1271348_Ae_caspius - ATP6 CDS,RMNH.INS.1271349_An_plumbeus - ATP6 CDS,RMNH.INS.1271350_An_plumbeus - ATP6 CDS,RMNH.INS.1271351_An_plumbeus - ATP6 CDS,RMNH.INS.1271352_Cs_annulata - ATP6 CDS,RMNH.INS.1271354_Cs_annulata - ATP6 CDS,RMNH.INS.1271355_Cx_pipiens - ATP6 CDS,RMNH.INS.1271356_Cx_pipiens - ATP6 CDS,RMNH.INS.1271357_Cx_pipiens - ATP6 CDS,RMNH.INS.1271358_Cs_morsitans - ATP6 CDS,RMNH.INS.1271359_Cs_morsitans - ATP6 CDS,RMNH.INS.1271360_Cs_morsitans - ATP6 CDS,RMNH.INS.1271361_Ae_sticticus - ATP6 CDS,RMNH.INS.1271362_Ae_sticticus - ATP6 CDS,RMNH.INS.1271363_Ae_sticticus - ATP6 CDS,RMNH.INS.1271367_Ae_detritus - ATP6 CDS,RMNH.INS.1271368_Ae_detritus - ATP6 CDS,RMNH.INS.1271369_Ae_caspius - ATP6 CDS,RMNH.INS.1271370_Ae_flavescens - ATP6 CDS,RMNH.INS.1271371_Ae_flavescens - ATP6 CDS,RMNH.INS.1271372_Ae_flavescens - ATP6 CDS,RMNH.INS.1271375_Ae_leucomelas - ATP6 CDS,RMNH.INS.1271376_Ae_albopictus - ATP6 CDS,RMNH.INS.1271377_Ae_albopictus - ATP6 CDS,RMNH.INS.1271378_Ae_albopictus - ATP6 CDS,RMNH.INS.1271379_Ae_japonicus - ATP6 CDS,RMNH.INS.1271380_Ae_japonicus - ATP6 CDS,RMNH.INS.1271381_Ae_japonicus - ATP6 CDS,RMNH.INS.1271382_Ae_aegypti - ATP6 CDS,RMNH.INS.1271383_Ae_aegypti - ATP6 CDS,RMNH.INS.1271384_Ae_aegypti - ATP6 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ATP6 CDS,RMNH.INS.1271389_Cs_ochroptera - ATP6 CDS
RMNH.INS.1271298_An_messeae - ATP6 CDS,,99.266,99.706,82.379,82.232,82.379,86.490,86.344,86.637,87.372,87.372,87.372,89.134,89.134,89.280,85.756,85.316,84.435,86.050,86.050,85.903,83.700,83.847,83.554,83.407,83.407,83.407,86.784,86.490,86.637,86.637,86.784,86.931,87.959,87.959,87.959,86.637,86.637,86.490,85.756,87.959,85.756,86.637,86.490,86.637,87.078,87.372,86.784,86.784,86.784,88.106,87.959,88.106,87.372,87.372,85.609,85.609,85.609,86.931,86.931,87.078,84.875,84.875,84.728,86.490,86.344,86.784,86.344,86.344,86.197,87.078,83.994,83.994,83.994,85.903,85.903,85.609,83.994,83.700,84.141,83.407,86.050
RMNH.INS.1271299_An_messeae - ATP6 CDS,99.266,,99.413,82.379,82.232,82.379,86.637,86.490,86.784,87.812,87.812,87.812,89.574,89.574,89.721,86.050,85.609,85.022,86.637,86.637,86.490,83.994,84.141,83.847,83.847,83.847,83.847,86.931,86.637,86.490,86.784,86.784,87.225,87.812,87.812,87.812,86.784,86.784,86.637,86.050,87.812,86.050,86.784,86.637,86.784,87.518,87.812,86.931,86.931,86.931,88.253,88.106,88.253,87.812,87.812,85.756,85.756,85.756,87.078,87.078,87.225,84.728,85.022,84.581,86.637,86.490,86.931,86.637,86.637,86.490,87.078,84.288,84.288,84.288,85.903,85.903,85.903,84.435,83.847,84.581,83.700,86.490
RMNH.INS.1271300_An_messeae - ATP6 CDS,99.706,99.413,,82.379,82.232,82.379,86.490,86.344,86.637,87.665,87.665,87.665,89.280,89.280,89.427,85.756,85.463,84.581,86.197,86.197,86.050,83.847,83.994,83.700,83.700,83.700,83.700,86.784,86.490,86.344,86.637,86.784,86.931,87.665,87.665,87.665,86.637,86.637,86.490,85.756,87.665,85.756,86.637,86.490,86.637,87.372,87.665,86.784,86.784,86.784,88.106,87.959,88.106,87.665,87.665,85.609,85.609,85.609,86.931,86.931,87.078,84.728,85.022,84.581,86.784,86.490,86.784,86.637,86.637,86.490,87.078,83.994,83.994,83.994,85.903,85.903,85.609,84.141,83.700,84.288,83.554,86.344
RMNH.INS.1271301_Cq_richiardii - ATP6 CDS,82.379,82.379,82.379,,99.413,99.413,84.435,84.435,84.728,85.022,85.022,85.022,83.260,83.700,83.554,84.288,83.700,83.260,86.637,86.637,86.490,83.407,83.407,83.260,84.435,84.435,84.435,85.169,85.316,84.728,85.022,85.169,85.463,85.316,85.316,85.316,84.288,84.288,84.141,84.581,85.316,84.581,85.903,85.756,85.903,85.169,85.022,84.581,84.435,84.728,84.141,84.141,84.141,85.022,85.022,84.288,84.288,84.288,86.490,86.344,86.490,83.700,83.994,83.700,83.700,84.141,84.435,84.875,84.875,84.728,85.463,83.260,83.260,82.966,82.819,82.819,82.673,84.288,83.554,84.288,82.966,84.141
RMNH.INS.1271302_Cq_richiardii - ATP6 CDS,82.232,82.232,82.232,99.413,,99.706,84.288,84.288,84.581,84.875,84.875,84.875,83.260,83.700,83.554,84.141,83.554,83.113,86.490,86.490,86.344,83.113,83.113,83.113,83.994,83.994,83.994,85.022,85.169,84.581,84.875,85.022,85.316,85.169,85.169,85.169,84.141,84.141,83.994,84.435,85.169,84.435,85.756,85.609,85.756,85.022,84.875,84.435,84.288,84.581,84.141,84.141,84.141,84.875,84.875,84.141,84.141,84.141,86.344,86.197,86.344,83.554,83.847,83.554,83.554,83.994,84.288,84.728,84.728,84.581,85.316,83.113,83.113,82.819,82.673,82.673,82.526,84.141,83.407,84.141,82.673,83.994
RMNH.INS.1271303_Cq_richiardii - ATP6 CDS,82.379,82.379,82.379,99.413,99.706,,84.581,84.288,84.581,85.169,85.169,85.169,83.260,83.700,83.554,84.141,83.554,83.113,86.637,86.637,86.490,83.113,83.113,83.113,83.994,83.994,83.994,85.316,85.463,84.875,85.169,85.316,85.609,85.463,85.463,85.463,84.435,84.435,84.288,84.435,85.463,84.435,85.903,85.756,85.903,85.316,85.169,84.728,84.581,84.875,84.435,84.435,84.435,85.169,85.169,84.141,84.141,84.141,86.637,86.490,86.637,83.847,84.141,83.847,83.847,83.994,84.581,84.728,84.728,84.581,85.609,83.407,83.407,83.113,82.966,82.966,82.819,84.435,83.700,84.435,82.966,84.141
RMNH.INS.1271304_Ae_vexans - ATP6 CDS,86.490,86.637,86.490,84.435,84.288,84.581,,99.413,99.706,88.987,88.987,88.987,85.903,86.344,86.050,89.280,88.840,87.959,88.693,88.693,88.546,90.308,90.455,90.602,85.609,85.609,85.609,92.217,92.070,92.070,92.070,92.364,92.511,90.896,90.896,90.896,90.308,90.308,90.162,90.162,90.896,90.162,90.896,90.749,90.896,89.134,88.987,91.924,91.630,91.924,85.316,85.169,85.316,88.987,88.987,88.106,88.106,88.106,88.106,88.106,88.253,88.546,88.840,88.693,90.308,89.574,91.630,90.749,90.749,91.043,91.777,88.546,88.546,88.546,88.693,88.693,88.399,89.574,89.574,89.280,90.162,89.134
RMNH.INS.1271305_Ae_vexans - ATP6 CDS,86.344,86.490,86.344,84.435,84.288,84.288,99.413,,99.706,88.546,88.546,88.546,85.756,86.197,85.903,89.280,88.840,87.959,88.399,88.399,88.253,90.308,90.455,90.602,85.463,85.463,85.463,91.924,91.777,91.777,91.777,92.070,92.217,90.602,90.602,90.602,90.015,90.015,89.868,90.162,90.602,90.162,90.896,90.749,90.896,88.693,88.546,91.630,91.336,91.630,85.022,84.875,85.022,88.546,88.546,88.106,88.106,88.106,87.812,87.812,87.959,88.399,88.693,88.546,90.015,89.574,91.336,90.749,90.749,91.043,91.483,88.253,88.253,88.253,88.253,88.253,87.959,89.280,89.280,88.987,89.868,88.840
RMNH.INS.1271306_Ae_vexans - ATP6 CDS,86.637,86.784,86.637,84.728,84.581,84.581,99.706,99.706,,88.840,88.840,88.840,86.050,86.490,86.197,89.427,88.987,88.106,88.693,88.693,88.546,90.455,90.602,90.749,85.756,85.756,85.756,92.217,92.070,92.070,92.070,92.364,92.511,90.896,90.896,90.896,90.308,90.308,90.162,90.455,90.896,90.455,91.043,90.896,91.043,88.987,88.840,91.924,91.630,91.924,85.316,85.169,85.316,88.840,88.840,88.253,88.253,88.253,88.106,88.106,88.253,88.546,88.840,88.693,90.308,89.868,91.630,91.043,91.043,91.336,91.777,88.546,88.546,88.546,88.546,88.546,88.253,89.574,89.574,89.280,90.015,89.134
RMNH.INS.1271307_Cs_annulata - ATP6 CDS,87.372,87.812,87.665,85.022,84.875,85.169,88.987,88.546,88.840,,100.000,100.000,87.078,87.518,87.518,89.427,89.134,88.840,88.840,88.840,88.693,86.637,86.784,86.931,87.665,87.665,87.665,89.868,89.574,89.574,89.721,89.721,90.162,90.308,90.308,90.308,89.574,89.574,89.427,88.399,90.308,88.399,89.868,89.721,89.868,97.797,100.000,88.693,88.399,88.693,87.225,87.078,87.225,100.000,100.000,87.665,87.665,87.665,89.280,89.280,89.427,86.931,87.225,86.784,89.574,88.840,88.399,89.427,89.427,89.427,89.721,87.372,87.372,87.372,87.812,87.812,87.665,88.253,87.812,88.106,86.490,88.399
