,RMNH.INS.1271298_An_messeae - rrnS gene,RMNH.INS.1271299_An_messeae - rrnS gene,RMNH.INS.1271300_An_messeae - rrnS gene,RMNH.INS.1271301_Cq_richiardii - rrnS gene,RMNH.INS.1271302_Cq_richiardii - rrnS gene,RMNH.INS.1271303_Cq_richiardii - rrnS gene,RMNH.INS.1271304_Ae_vexans - rrnS gene,RMNH.INS.1271305_Ae_vexans - rrnS gene,RMNH.INS.1271306_Ae_vexans - rrnS gene,RMNH.INS.1271307_Cs_annulata - rrnS gene,RMNH.INS.1271308_Cs_annulata - rrnS gene,RMNH.INS.1271309_Cs_annulata - rrnS gene,RMNH.INS.1271310_An_claviger - rrnS gene,RMNH.INS.1271311_An_claviger - rrnS gene,RMNH.INS.1271312_An_claviger - rrnS gene,RMNH.INS.1271313_Cx_modestus - rrnS gene,RMNH.INS.1271314_Cx_modestus - rrnS gene,RMNH.INS.1271315_Cx_modestus - rrnS gene,RMNH.INS.1271316_Cx_territans - rrnS gene,RMNH.INS.1271317_Cx_territans - rrnS gene,RMNH.INS.1271318_Cx_territans - rrnS gene,RMNH.INS.1271319_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271320_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271321_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271322_Cs_longiareolata - rrnS gene,RMNH.INS.1271323_Cs_longiareolata - rrnS gene,RMNH.INS.1271324_Cs_longiareolata - rrnS gene,RMNH.INS.1271325_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271326_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271327_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271328_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271329_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271330_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271331_Ae_rusticus - rrnS gene,RMNH.INS.1271332_Ae_rusticus - rrnS gene,RMNH.INS.1271333_Ae_rusticus - rrnS gene,RMNH.INS.1271334_Ae_communis - rrnS gene,RMNH.INS.1271335_Ae_communis - rrnS gene,RMNH.INS.1271336_Ae_communis - rrnS gene,RMNH.INS.1271337_Ae_punctor - rrnS gene,RMNH.INS.1271338_Ae_rusticus - rrnS gene,RMNH.INS.1271339_Ae_punctor - rrnS gene,RMNH.INS.1271340_Ae_geniculatus - rrnS gene,RMNH.INS.1271341_Ae_geniculatus - rrnS gene,RMNH.INS.1271342_Ae_geniculatus - rrnS gene,RMNH.INS.1271344_Cs_subochrea - rrnS gene,RMNH.INS.1271345_Cs_annulata - rrnS gene,RMNH.INS.1271346_Ae_caspius - rrnS gene,RMNH.INS.1271347_Ae_caspius - rrnS gene,RMNH.INS.1271348_Ae_caspius - rrnS gene,RMNH.INS.1271349_An_plumbeus - rrnS gene,RMNH.INS.1271350_An_plumbeus - rrnS gene,RMNH.INS.1271351_An_plumbeus - rrnS gene,RMNH.INS.1271352_Cs_annulata - rrnS gene,RMNH.INS.1271354_Cs_annulata - rrnS gene,RMNH.INS.1271355_Cx_pipiens - rrnS gene,RMNH.INS.1271356_Cx_pipiens - rrnS gene,RMNH.INS.1271357_Cx_pipiens - rrnS gene,RMNH.INS.1271358_Cs_morsitans - rrnS gene,RMNH.INS.1271359_Cs_morsitans - rrnS gene,RMNH.INS.1271360_Cs_morsitans - rrnS gene,RMNH.INS.1271361_Ae_sticticus - rrnS gene,RMNH.INS.1271362_Ae_sticticus - rrnS gene,RMNH.INS.1271363_Ae_sticticus - rrnS gene,RMNH.INS.1271367_Ae_detritus - rrnS gene,RMNH.INS.1271368_Ae_detritus - rrnS gene,RMNH.INS.1271369_Ae_caspius - rrnS gene,RMNH.INS.1271370_Ae_flavescens - rrnS gene,RMNH.INS.1271371_Ae_flavescens - rrnS gene,RMNH.INS.1271372_Ae_flavescens - rrnS gene,RMNH.INS.1271375_Ae_leucomelas - rrnS gene,RMNH.INS.1271376_Ae_albopictus - rrnS gene,RMNH.INS.1271377_Ae_albopictus - rrnS gene,RMNH.INS.1271378_Ae_albopictus - rrnS gene,RMNH.INS.1271379_Ae_japonicus - rrnS gene,RMNH.INS.1271380_Ae_japonicus - rrnS gene,RMNH.INS.1271381_Ae_japonicus - rrnS gene,RMNH.INS.1271382_Ae_aegypti - rrnS gene,RMNH.INS.1271383_Ae_aegypti - rrnS gene,RMNH.INS.1271384_Ae_aegypti - rrnS gene,RMNH.INS.1271386_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271389_Cs_ochroptera - rrnS gene
RMNH.INS.1271298_An_messeae - rrnS gene,,100.000,100.000,86.995,86.995,86.995,89.786,89.547,89.786,88.095,88.875,89.141,96.222,96.222,96.348,88.428,88.428,88.553,88.302,88.510,88.510,88.413,88.413,88.413,89.281,89.281,89.281,89.912,89.798,89.786,89.912,89.924,89.924,89.786,89.786,89.786,88.539,88.539,88.539,88.791,89.786,88.791,89.673,89.673,89.673,88.777,88.763,89.760,89.760,89.633,93.266,93.266,93.139,88.763,88.763,88.679,88.679,88.805,88.889,88.889,88.889,90.164,90.164,90.164,88.889,89.141,89.760,89.786,89.786,89.673,91.125,88.582,88.582,88.582,89.633,89.633,89.507,89.141,89.394,89.268,88.413,89.015
RMNH.INS.1271299_An_messeae - rrnS gene,100.000,,100.000,86.995,86.995,86.995,89.786,89.547,89.786,88.095,88.875,89.141,96.222,96.222,96.348,88.428,88.428,88.553,88.302,88.510,88.510,88.413,88.413,88.413,89.281,89.281,89.281,89.912,89.798,89.786,89.912,89.924,89.924,89.786,89.786,89.786,88.539,88.539,88.539,88.791,89.786,88.791,89.673,89.673,89.673,88.777,88.763,89.760,89.760,89.633,93.266,93.266,93.139,88.763,88.763,88.679,88.679,88.805,88.889,88.889,88.889,90.164,90.164,90.164,88.889,89.141,89.760,89.786,89.786,89.673,91.125,88.582,88.582,88.582,89.633,89.633,89.507,89.141,89.394,89.268,88.413,89.015
RMNH.INS.1271300_An_messeae - rrnS gene,100.000,100.000,,86.995,86.995,86.995,89.786,89.547,89.786,88.095,88.875,89.141,96.222,96.222,96.348,88.428,88.428,88.553,88.302,88.510,88.510,88.413,88.413,88.413,89.281,89.281,89.281,89.912,89.798,89.786,89.912,89.924,89.924,89.786,89.786,89.786,88.539,88.539,88.539,88.791,89.786,88.791,89.673,89.673,89.673,88.777,88.763,89.760,89.760,89.633,93.266,93.266,93.139,88.763,88.763,88.679,88.679,88.805,88.889,88.889,88.889,90.164,90.164,90.164,88.889,89.141,89.760,89.786,89.786,89.673,91.125,88.582,88.582,88.582,89.633,89.633,89.507,89.141,89.394,89.268,88.413,89.015
RMNH.INS.1271301_Cq_richiardii - rrnS gene,86.995,86.995,86.995,,100.000,100.000,91.656,91.540,91.656,92.327,93.020,92.902,87.121,87.121,86.995,93.020,93.020,93.147,92.288,92.513,92.513,91.035,91.162,91.035,91.888,91.888,91.888,91.899,91.656,92.025,91.899,91.909,91.909,91.530,91.530,91.530,91.403,91.403,91.403,92.035,91.530,92.035,91.150,91.150,91.150,92.532,93.029,91.635,91.635,91.508,86.185,86.185,86.058,93.029,93.029,93.147,93.147,93.020,92.649,92.649,92.649,91.772,91.772,91.772,91.013,91.266,91.635,91.772,91.772,91.656,93.142,90.152,90.152,90.152,92.015,92.015,91.888,90.621,90.875,90.494,91.035,92.259
RMNH.INS.1271302_Cq_richiardii - rrnS gene,86.995,86.995,86.995,100.000,,100.000,91.656,91.540,91.656,92.327,93.020,92.902,87.121,87.121,86.995,93.020,93.020,93.147,92.288,92.513,92.513,91.035,91.162,91.035,91.888,91.888,91.888,91.899,91.656,92.025,91.899,91.909,91.909,91.530,91.530,91.530,91.403,91.403,91.403,92.035,91.530,92.035,91.150,91.150,91.150,92.532,93.029,91.635,91.635,91.508,86.185,86.185,86.058,93.029,93.029,93.147,93.147,93.020,92.649,92.649,92.649,91.772,91.772,91.772,91.013,91.266,91.635,91.772,91.772,91.656,93.142,90.152,90.152,90.152,92.015,92.015,91.888,90.621,90.875,90.494,91.035,92.259
RMNH.INS.1271303_Cq_richiardii - rrnS gene,86.995,86.995,86.995,100.000,100.000,,91.656,91.540,91.656,92.327,93.020,92.902,87.121,87.121,86.995,93.020,93.020,93.147,92.288,92.513,92.513,91.035,91.162,91.035,91.888,91.888,91.888,91.899,91.656,92.025,91.899,91.909,91.909,91.530,91.530,91.530,91.403,91.403,91.403,92.035,91.530,92.035,91.150,91.150,91.150,92.532,93.029,91.635,91.635,91.508,86.185,86.185,86.058,93.029,93.029,93.147,93.147,93.020,92.649,92.649,92.649,91.772,91.772,91.772,91.013,91.266,91.635,91.772,91.772,91.656,93.142,90.152,90.152,90.152,92.015,92.015,91.888,90.621,90.875,90.494,91.035,92.259
RMNH.INS.1271304_Ae_vexans - rrnS gene,89.786,89.786,89.786,91.656,91.656,91.656,,99.747,100.000,93.216,93.916,94.304,89.533,89.533,89.407,93.418,93.418,93.544,93.821,94.051,94.051,96.713,96.587,96.713,94.564,94.564,94.564,98.479,98.228,98.352,98.479,98.481,98.481,98.733,98.733,98.733,97.089,97.089,97.089,97.342,98.733,97.342,96.962,96.962,96.962,93.552,93.924,98.604,98.604,98.731,88.608,88.608,88.481,93.924,93.924,94.051,94.051,93.924,93.924,93.924,93.924,97.722,97.722,97.722,97.081,97.335,98.604,98.606,98.606,98.481,98.726,95.575,95.575,95.575,96.954,96.954,96.827,95.939,96.066,96.193,96.713,93.544
RMNH.INS.1271305_Ae_vexans - rrnS gene,89.547,89.547,89.547,91.540,91.540,91.540,99.747,,99.747,92.974,93.671,94.058,89.295,89.295,89.169,93.300,93.300,93.426,93.577,93.805,93.805,96.465,96.338,96.465,94.444,94.444,94.444,98.228,97.977,98.101,98.228,98.230,98.230,98.481,98.481,98.481,96.839,96.839,96.839,97.092,98.481,97.092,96.713,96.713,96.713,93.308,93.679,98.352,98.352,98.479,88.369,88.369,88.243,93.679,93.679,93.932,93.932,93.805,93.805,93.805,93.805,97.472,97.472,97.472,96.831,97.085,98.352,98.354,98.354,98.230,98.569,95.328,95.328,95.328,96.705,96.705,96.578,95.691,95.817,95.944,96.465,93.300
RMNH.INS.1271306_Ae_vexans - rrnS gene,89.786,89.786,89.786,91.656,91.656,91.656,100.000,99.747,,93.216,93.916,94.304,89.533,89.533,89.407,93.418,93.418,93.544,93.821,94.051,94.051,96.713,96.587,96.713,94.564,94.564,94.564,98.479,98.228,98.352,98.479,98.481,98.481,98.733,98.733,98.733,97.089,97.089,97.089,97.342,98.733,97.342,96.962,96.962,96.962,93.552,93.924,98.604,98.604,98.731,88.608,88.608,88.481,93.924,93.924,94.051,94.051,93.924,93.924,93.924,93.924,97.722,97.722,97.722,97.081,97.335,98.604,98.606,98.606,98.481,98.726,95.575,95.575,95.575,96.954,96.954,96.827,95.939,96.066,96.193,96.713,93.544
RMNH.INS.1271307_Cs_annulata - rrnS gene,88.095,88.095,88.095,92.327,92.327,92.327,93.216,92.974,93.216,,98.990,98.864,88.221,88.221,88.095,92.830,92.830,92.956,92.723,92.947,92.947,92.462,92.462,92.462,94.962,94.962,94.962,93.090,92.848,93.216,93.090,93.099,93.099,93.342,93.342,93.342,92.974,92.974,92.974,93.099,93.342,93.099,92.974,92.974,92.974,97.601,99.242,92.956,92.956,92.830,87.421,87.421,87.296,99.242,99.242,92.579,92.579,92.453,94.444,94.444,94.444,93.216,93.216,93.216,92.453,92.704,92.956,93.090,93.090,92.974,93.858,92.095,92.095,92.095,93.208,93.208,93.082,92.947,93.199,92.947,92.462,94.199
